Date: 2026-04-05_14-34-03
Center Frequency (Hz): 7600000000.0
Span (Hz): 9700000000.0
RBW (Hz): 2000000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
2.750000000000000000e+09,-4.382999999999999829e+01
2.766166666666666508e+09,-7.132999999999999829e+01
2.782333333333333492e+09,-4.415999999999999659e+01
2.798500000000000000e+09,-7.215999999999999659e+01
2.814666666666666508e+09,-4.315999999999999659e+01
2.830833333333333492e+09,-7.215999999999999659e+01
2.847000000000000000e+09,-4.300000000000000000e+01
2.863166666666666508e+09,-7.065999999999999659e+01
2.879333333333333492e+09,-4.350000000000000000e+01
2.895500000000000000e+09,-7.432999999999999829e+01
2.911666666666666508e+09,-4.265999999999999659e+01
2.927833333333333492e+09,-7.565999999999999659e+01
2.944000000000000000e+09,-4.165999999999999659e+01
2.960166666666666508e+09,-7.350000000000000000e+01
2.976333333333333492e+09,-4.382999999999999829e+01
2.992500000000000000e+09,-7.300000000000000000e+01
3.008666666666666508e+09,-4.432999999999999829e+01
3.024833333333333492e+09,-7.315999999999999659e+01
3.041000000000000000e+09,-4.482999999999999829e+01
3.057166666666666508e+09,-7.550000000000000000e+01
3.073333333333333492e+09,-4.382999999999999829e+01
3.089500000000000000e+09,-7.082999999999999829e+01
3.105666666666666508e+09,-4.332999999999999829e+01
3.121833333333333492e+09,-7.432999999999999829e+01
3.138000000000000000e+09,-4.432999999999999829e+01
3.154166666666666508e+09,-7.015999999999999659e+01
3.170333333333333492e+09,-4.365999999999999659e+01
3.186500000000000000e+09,-7.065999999999999659e+01
3.202666666666666508e+09,-4.332999999999999829e+01
3.218833333333333492e+09,-7.150000000000000000e+01
3.235000000000000000e+09,-4.300000000000000000e+01
3.251166666666666508e+09,-7.432999999999999829e+01
3.267333333333333492e+09,-4.432999999999999829e+01
3.283500000000000000e+09,-7.015999999999999659e+01
3.299666666666666508e+09,-4.400000000000000000e+01
3.315833333333333015e+09,-7.650000000000000000e+01
3.332000000000000000e+09,-4.300000000000000000e+01
3.348166666666666508e+09,-6.832999999999999829e+01
3.364333333333333015e+09,-4.332999999999999829e+01
3.380500000000000000e+09,-7.232999999999999829e+01
3.396666666666666508e+09,-4.365999999999999659e+01
3.412833333333333015e+09,-7.800000000000000000e+01
3.429000000000000000e+09,-4.315999999999999659e+01
3.445166666666666508e+09,-7.450000000000000000e+01
3.461333333333333015e+09,-4.482999999999999829e+01
3.477500000000000000e+09,-7.182999999999999829e+01
3.493666666666666508e+09,-4.382999999999999829e+01
3.509833333333333015e+09,-7.200000000000000000e+01
3.526000000000000000e+09,-4.282999999999999829e+01
3.542166666666666508e+09,-7.050000000000000000e+01
3.558333333333333015e+09,-4.365999999999999659e+01
3.574500000000000000e+09,-7.250000000000000000e+01
3.590666666666666508e+09,-4.315999999999999659e+01
3.606833333333333015e+09,-6.900000000000000000e+01
3.623000000000000000e+09,-4.382999999999999829e+01
3.639166666666666508e+09,-7.115999999999999659e+01
3.655333333333333015e+09,-4.382999999999999829e+01
3.671500000000000000e+09,-7.082999999999999829e+01
3.687666666666666508e+09,-4.400000000000000000e+01
3.703833333333333015e+09,-7.100000000000000000e+01
3.720000000000000000e+09,-4.400000000000000000e+01
3.736166666666666508e+09,-7.265999999999999659e+01
3.752333333333333015e+09,-4.350000000000000000e+01
3.768500000000000000e+09,-7.382999999999999829e+01
3.784666666666666508e+09,-4.215999999999999659e+01
3.800833333333333015e+09,-7.532999999999999829e+01
3.817000000000000000e+09,-4.365999999999999659e+01
3.833166666666666508e+09,-7.382999999999999829e+01
3.849333333333333015e+09,-4.350000000000000000e+01
3.865500000000000000e+09,-7.132999999999999829e+01
3.881666666666666508e+09,-4.415999999999999659e+01
3.897833333333333015e+09,-7.100000000000000000e+01
3.914000000000000000e+09,-4.432999999999999829e+01
3.930166666666666508e+09,-7.350000000000000000e+01
3.946333333333333015e+09,-4.250000000000000000e+01
3.962500000000000000e+09,-7.365999999999999659e+01
3.978666666666666508e+09,-4.382999999999999829e+01
3.994833333333333015e+09,-7.600000000000000000e+01
4.011000000000000000e+09,-4.300000000000000000e+01
4.027166666666666508e+09,-7.765999999999999659e+01
4.043333333333333015e+09,-4.265999999999999659e+01
4.059500000000000000e+09,-7.065999999999999659e+01
4.075666666666666508e+09,-4.382999999999999829e+01
4.091833333333333015e+09,-7.265999999999999659e+01
4.108000000000000000e+09,-4.365999999999999659e+01
4.124166666666666508e+09,-7.565999999999999659e+01
4.140333333333333015e+09,-4.332999999999999829e+01
4.156500000000000000e+09,-7.132999999999999829e+01
4.172666666666666508e+09,-4.465999999999999659e+01
4.188833333333333015e+09,-7.365999999999999659e+01
4.205000000000000000e+09,-4.432999999999999829e+01
4.221166666666666508e+09,-6.900000000000000000e+01
4.237333333333333015e+09,-4.332999999999999829e+01
4.253500000000000000e+09,-7.165999999999999659e+01
4.269666666666666508e+09,-4.382999999999999829e+01
4.285833333333333015e+09,-7.332999999999999829e+01
4.302000000000000000e+09,-4.400000000000000000e+01
4.318166666666666031e+09,-7.450000000000000000e+01
4.334333333333333015e+09,-4.250000000000000000e+01
4.350500000000000000e+09,-7.065999999999999659e+01
4.366666666666666031e+09,-4.400000000000000000e+01
4.382833333333333015e+09,-7.365999999999999659e+01
4.399000000000000000e+09,-4.450000000000000000e+01
4.415166666666666031e+09,-7.482999999999999829e+01
4.431333333333333015e+09,-4.415999999999999659e+01
4.447500000000000000e+09,-7.650000000000000000e+01
4.463666666666666031e+09,-4.400000000000000000e+01
4.479833333333333015e+09,-7.582999999999999829e+01
4.496000000000000000e+09,-4.332999999999999829e+01
4.512166666666666031e+09,-7.382999999999999829e+01
4.528333333333333015e+09,-4.432999999999999829e+01
4.544500000000000000e+09,-7.032999999999999829e+01
4.560666666666666031e+09,-4.350000000000000000e+01
4.576833333333333015e+09,-7.682999999999999829e+01
4.593000000000000000e+09,-4.315999999999999659e+01
4.609166666666666031e+09,-7.282999999999999829e+01
4.625333333333333015e+09,-4.500000000000000000e+01
4.641500000000000000e+09,-7.332999999999999829e+01
4.657666666666666031e+09,-4.432999999999999829e+01
4.673833333333333015e+09,-7.232999999999999829e+01
4.690000000000000000e+09,-4.400000000000000000e+01
4.706166666666666031e+09,-7.815999999999999659e+01
4.722333333333333015e+09,-4.400000000000000000e+01
4.738500000000000000e+09,-7.165999999999999659e+01
4.754666666666666031e+09,-4.332999999999999829e+01
4.770833333333333015e+09,-7.300000000000000000e+01
4.787000000000000000e+09,-4.350000000000000000e+01
4.803166666666666031e+09,-7.482999999999999829e+01
4.819333333333333015e+09,-4.500000000000000000e+01
4.835500000000000000e+09,-7.115999999999999659e+01
4.851666666666666031e+09,-4.365999999999999659e+01
4.867833333333333015e+09,-7.482999999999999829e+01
4.884000000000000000e+09,-4.382999999999999829e+01
4.900166666666666031e+09,-7.265999999999999659e+01
4.916333333333333015e+09,-4.500000000000000000e+01
4.932500000000000000e+09,-7.382999999999999829e+01
4.948666666666666031e+09,-4.400000000000000000e+01
4.964833333333333015e+09,-7.215999999999999659e+01
4.981000000000000000e+09,-4.382999999999999829e+01
4.997166666666666031e+09,-7.300000000000000000e+01
5.013333333333333015e+09,-4.465999999999999659e+01
5.029500000000000000e+09,-7.265999999999999659e+01
5.045666666666666031e+09,-4.415999999999999659e+01
5.061833333333333015e+09,-7.365999999999999659e+01
5.078000000000000000e+09,-4.465999999999999659e+01
5.094166666666666031e+09,-7.532999999999999829e+01
5.110333333333333015e+09,-4.432999999999999829e+01
5.126500000000000000e+09,-7.232999999999999829e+01
5.142666666666666031e+09,-4.432999999999999829e+01
5.158833333333333015e+09,-7.200000000000000000e+01
5.175000000000000000e+09,-4.332999999999999829e+01
5.191166666666666031e+09,-7.482999999999999829e+01
5.207333333333333015e+09,-4.400000000000000000e+01
5.223500000000000000e+09,-7.465999999999999659e+01
5.239666666666666031e+09,-4.350000000000000000e+01
5.255833333333333015e+09,-7.015999999999999659e+01
