Date: 2026-04-19_22-27-51
Center Frequency (Hz): 7600000000.0
Span (Hz): 100000000.0
RBW (Hz): 1000000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
7.550000000000000000e+09,-6.300000000000000000e+01
7.550166666666666985e+09,-8.582999999999999829e+01
7.550333333333333015e+09,-6.350000000000000000e+01
7.550500000000000000e+09,-8.565999999999999659e+01
7.550666666666666985e+09,-6.015999999999999659e+01
7.550833333333333015e+09,-8.932999999999999829e+01
7.551000000000000000e+09,-6.300000000000000000e+01
7.551166666666666985e+09,-8.532999999999999829e+01
7.551333333333333015e+09,-6.282999999999999829e+01
7.551500000000000000e+09,-8.550000000000000000e+01
7.551666666666666985e+09,-6.265999999999999659e+01
7.551833333333333015e+09,-8.632999999999999829e+01
7.552000000000000000e+09,-6.215999999999999659e+01
7.552166666666666985e+09,-8.782999999999999829e+01
7.552333333333333015e+09,-6.265999999999999659e+01
7.552500000000000000e+09,-8.765999999999999659e+01
7.552666666666666985e+09,-6.232999999999999829e+01
7.552833333333333015e+09,-8.600000000000000000e+01
7.553000000000000000e+09,-6.300000000000000000e+01
7.553166666666666985e+09,-8.865999999999999659e+01
7.553333333333333015e+09,-6.250000000000000000e+01
7.553500000000000000e+09,-8.732999999999999829e+01
7.553666666666666985e+09,-6.265999999999999659e+01
7.553833333333333015e+09,-8.615999999999999659e+01
7.554000000000000000e+09,-6.132999999999999829e+01
7.554166666666666985e+09,-8.582999999999999829e+01
7.554333333333333015e+09,-6.315999999999999659e+01
7.554500000000000000e+09,-9.232999999999999829e+01
7.554666666666666985e+09,-6.250000000000000000e+01
7.554833333333333015e+09,-8.715999999999999659e+01
7.555000000000000000e+09,-6.250000000000000000e+01
7.555166666666666985e+09,-8.715999999999999659e+01
7.555333333333333015e+09,-6.315999999999999659e+01
7.555500000000000000e+09,-8.782999999999999829e+01
7.555666666666666985e+09,-6.315999999999999659e+01
7.555833333333333015e+09,-8.500000000000000000e+01
7.556000000000000000e+09,-6.382999999999999829e+01
7.556166666666666985e+09,-8.615999999999999659e+01
7.556333333333333015e+09,-6.165999999999999659e+01
7.556500000000000000e+09,-8.582999999999999829e+01
7.556666666666666985e+09,-6.215999999999999659e+01
7.556833333333333015e+09,-8.500000000000000000e+01
7.557000000000000000e+09,-6.265999999999999659e+01
7.557166666666666985e+09,-8.650000000000000000e+01
7.557333333333333015e+09,-6.250000000000000000e+01
7.557500000000000000e+09,-8.800000000000000000e+01
7.557666666666666985e+09,-6.365999999999999659e+01
7.557833333333333015e+09,-8.715999999999999659e+01
7.558000000000000000e+09,-6.250000000000000000e+01
7.558166666666666985e+09,-8.815999999999999659e+01
7.558333333333333015e+09,-6.232999999999999829e+01
7.558500000000000000e+09,-8.732999999999999829e+01
7.558666666666666985e+09,-6.215999999999999659e+01
7.558833333333333015e+09,-8.782999999999999829e+01
7.559000000000000000e+09,-6.150000000000000000e+01
7.559166666666666985e+09,-8.732999999999999829e+01
7.559333333333333015e+09,-6.282999999999999829e+01
7.559500000000000000e+09,-8.565999999999999659e+01
7.559666666666666985e+09,-6.282999999999999829e+01
7.559833333333333015e+09,-8.782999999999999829e+01
7.560000000000000000e+09,-6.265999999999999659e+01
7.560166666666666985e+09,-8.700000000000000000e+01
7.560333333333333015e+09,-6.350000000000000000e+01
7.560500000000000000e+09,-9.315999999999999659e+01
7.560666666666666985e+09,-6.415999999999999659e+01
7.560833333333333015e+09,-8.865999999999999659e+01
7.561000000000000000e+09,-6.232999999999999829e+01
7.561166666666666985e+09,-8.382999999999999829e+01
7.561333333333333015e+09,-6.150000000000000000e+01
7.561500000000000000e+09,-8.715999999999999659e+01
7.561666666666666985e+09,-6.115999999999999659e+01
7.561833333333333015e+09,-9.065999999999999659e+01
7.562000000000000000e+09,-6.350000000000000000e+01
7.562166666666666985e+09,-8.382999999999999829e+01
7.562333333333333015e+09,-6.200000000000000000e+01
7.562500000000000000e+09,-8.732999999999999829e+01
7.562666666666666985e+09,-6.382999999999999829e+01
7.562833333333333015e+09,-8.600000000000000000e+01
7.563000000000000000e+09,-6.282999999999999829e+01
7.563166666666666985e+09,-9.015999999999999659e+01
7.563333333333333015e+09,-6.282999999999999829e+01
7.563500000000000000e+09,-9.232999999999999829e+01
7.563666666666666985e+09,-6.282999999999999829e+01
7.563833333333333015e+09,-8.982999999999999829e+01
7.564000000000000000e+09,-6.215999999999999659e+01
7.564166666666666985e+09,-8.500000000000000000e+01
7.564333333333333015e+09,-6.200000000000000000e+01
7.564500000000000000e+09,-9.050000000000000000e+01
7.564666666666666985e+09,-6.150000000000000000e+01
7.564833333333333015e+09,-8.550000000000000000e+01
7.565000000000000000e+09,-6.200000000000000000e+01
7.565166666666666985e+09,-8.782999999999999829e+01
7.565333333333333015e+09,-6.282999999999999829e+01
7.565500000000000000e+09,-8.515999999999999659e+01
7.565666666666666985e+09,-6.165999999999999659e+01
7.565833333333333015e+09,-8.815999999999999659e+01
7.566000000000000000e+09,-6.282999999999999829e+01
7.566166666666666985e+09,-9.100000000000000000e+01
7.566333333333333015e+09,-6.250000000000000000e+01
7.566500000000000000e+09,-8.950000000000000000e+01
7.566666666666666985e+09,-6.232999999999999829e+01
7.566833333333333015e+09,-8.615999999999999659e+01
7.567000000000000000e+09,-6.215999999999999659e+01
7.567166666666666985e+09,-8.900000000000000000e+01
7.567333333333333015e+09,-6.250000000000000000e+01
7.567500000000000000e+09,-8.632999999999999829e+01
7.567666666666666985e+09,-6.215999999999999659e+01
7.567833333333333015e+09,-9.082999999999999829e+01
7.568000000000000000e+09,-6.300000000000000000e+01
7.568166666666666985e+09,-9.115999999999999659e+01
7.568333333333333015e+09,-6.215999999999999659e+01
7.568500000000000000e+09,-8.850000000000000000e+01
7.568666666666666985e+09,-6.150000000000000000e+01
7.568833333333333015e+09,-8.900000000000000000e+01
7.569000000000000000e+09,-6.150000000000000000e+01
7.569166666666666985e+09,-9.032999999999999829e+01
7.569333333333333015e+09,-6.250000000000000000e+01
7.569500000000000000e+09,-8.900000000000000000e+01
7.569666666666666985e+09,-6.300000000000000000e+01
7.569833333333333015e+09,-8.750000000000000000e+01
7.570000000000000000e+09,-6.165999999999999659e+01
7.570166666666666985e+09,-8.650000000000000000e+01
7.570333333333333015e+09,-6.265999999999999659e+01
7.570500000000000000e+09,-8.882999999999999829e+01
7.570666666666666985e+09,-6.282999999999999829e+01
7.570833333333333015e+09,-9.032999999999999829e+01
7.571000000000000000e+09,-6.132999999999999829e+01
7.571166666666666985e+09,-9.000000000000000000e+01
7.571333333333333015e+09,-6.332999999999999829e+01
7.571500000000000000e+09,-9.065999999999999659e+01
7.571666666666666985e+09,-6.182999999999999829e+01
7.571833333333333015e+09,-8.700000000000000000e+01
7.572000000000000000e+09,-6.115999999999999659e+01
7.572166666666666985e+09,-8.882999999999999829e+01
7.572333333333333015e+09,-6.200000000000000000e+01
7.572500000000000000e+09,-8.615999999999999659e+01
7.572666666666666985e+09,-6.165999999999999659e+01
7.572833333333333015e+09,-8.350000000000000000e+01
7.573000000000000000e+09,-6.250000000000000000e+01
7.573166666666666985e+09,-8.582999999999999829e+01
7.573333333333333015e+09,-6.300000000000000000e+01
7.573500000000000000e+09,-9.065999999999999659e+01
7.573666666666666985e+09,-6.300000000000000000e+01
7.573833333333333015e+09,-8.832999999999999829e+01
7.574000000000000000e+09,-6.250000000000000000e+01
7.574166666666666985e+09,-8.750000000000000000e+01
7.574333333333333015e+09,-6.215999999999999659e+01
7.574500000000000000e+09,-8.900000000000000000e+01
7.574666666666666985e+09,-6.200000000000000000e+01
7.574833333333333015e+09,-8.750000000000000000e+01
7.575000000000000000e+09,-6.232999999999999829e+01
7.575166666666666985e+09,-9.150000000000000000e+01
7.575333333333333015e+09,-6.150000000000000000e+01
7.575500000000000000e+09,-8.582999999999999829e+01
7.575666666666666985e+09,-6.232999999999999829e+01
7.575833333333333015e+09,-8.532999999999999829e+01
7.576000000000000000e+09,-6.232999999999999829e+01
7.576166666666666985e+09,-8.682999999999999829e+01
7.576333333333333015e+09,-6.082999999999999829e+01
7.576500000000000000e+09,-9.065999999999999659e+01
7.576666666666666985e+09,-6.300000000000000000e+01
7.576833333333333015e+09,-8.765999999999999659e+01
7.577000000000000000e+09,-6.300000000000000000e+01
7.577166666666666985e+09,-8.700000000000000000e+01
7.577333333333333015e+09,-6.265999999999999659e+01
7.577500000000000000e+09,-8.882999999999999829e+01
7.577666666666666985e+09,-6.265999999999999659e+01
7.577833333333333015e+09,-9.032999999999999829e+01
7.578000000000000000e+09,-6.215999999999999659e+01
7.578166666666666985e+09,-8.665999999999999659e+01
7.578333333333333015e+09,-6.215999999999999659e+01
7.578500000000000000e+09,-8.732999999999999829e+01
7.578666666666666985e+09,-6.200000000000000000e+01
7.578833333333333015e+09,-9.000000000000000000e+01
7.579000000000000000e+09,-6.050000000000000000e+01
7.579166666666666985e+09,-8.932999999999999829e+01
7.579333333333333015e+09,-6.065999999999999659e+01
7.579500000000000000e+09,-8.915999999999999659e+01
7.579666666666666985e+09,-6.200000000000000000e+01
7.579833333333333015e+09,-9.350000000000000000e+01
7.580000000000000000e+09,-6.165999999999999659e+01
7.580166666666666985e+09,-8.850000000000000000e+01
7.580333333333333015e+09,-6.315999999999999659e+01
7.580500000000000000e+09,-8.732999999999999829e+01
7.580666666666666985e+09,-6.232999999999999829e+01
7.580833333333333015e+09,-8.682999999999999829e+01
7.581000000000000000e+09,-6.300000000000000000e+01
7.581166666666666985e+09,-8.550000000000000000e+01
7.581333333333333015e+09,-6.300000000000000000e+01
7.581500000000000000e+09,-9.100000000000000000e+01
7.581666666666666985e+09,-6.315999999999999659e+01
7.581833333333333015e+09,-9.050000000000000000e+01
7.582000000000000000e+09,-6.215999999999999659e+01
7.582166666666666985e+09,-8.315999999999999659e+01
7.582333333333333015e+09,-6.165999999999999659e+01
7.582500000000000000e+09,-8.865999999999999659e+01
7.582666666666666985e+09,-6.282999999999999829e+01
7.582833333333333015e+09,-8.632999999999999829e+01
7.583000000000000000e+09,-6.215999999999999659e+01
7.583166666666666985e+09,-8.250000000000000000e+01
7.583333333333333015e+09,-6.332999999999999829e+01
7.583500000000000000e+09,-9.000000000000000000e+01
7.583666666666666985e+09,-6.350000000000000000e+01
7.583833333333333015e+09,-8.782999999999999829e+01
7.584000000000000000e+09,-6.265999999999999659e+01
7.584166666666666985e+09,-8.515999999999999659e+01
7.584333333333333015e+09,-6.300000000000000000e+01
7.584500000000000000e+09,-8.600000000000000000e+01
7.584666666666666985e+09,-6.132999999999999829e+01
7.584833333333333015e+09,-8.682999999999999829e+01
7.585000000000000000e+09,-6.182999999999999829e+01
7.585166666666666985e+09,-8.565999999999999659e+01
7.585333333333333015e+09,-6.250000000000000000e+01
7.585500000000000000e+09,-8.582999999999999829e+01
7.585666666666666985e+09,-6.082999999999999829e+01
7.585833333333333015e+09,-8.965999999999999659e+01
7.586000000000000000e+09,-6.250000000000000000e+01
7.586166666666666985e+09,-8.600000000000000000e+01
7.586333333333333015e+09,-6.300000000000000000e+01
7.586500000000000000e+09,-8.750000000000000000e+01
7.586666666666666985e+09,-6.200000000000000000e+01
7.586833333333333015e+09,-8.532999999999999829e+01
7.587000000000000000e+09,-6.150000000000000000e+01
7.587166666666666985e+09,-8.715999999999999659e+01
7.587333333333333015e+09,-6.265999999999999659e+01
7.587500000000000000e+09,-8.732999999999999829e+01
