Date: 2026-04-19_22-33-04
Center Frequency (Hz): 7600000000.0
Span (Hz): 5000000.0
RBW (Hz): 3000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
7.597500000000000000e+09,-8.665999999999999659e+01
7.597508333333333015e+09,-9.665999999999999659e+01
7.597516666666666985e+09,-8.715999999999999659e+01
7.597525000000000000e+09,-9.550000000000000000e+01
7.597533333333333015e+09,-8.765999999999999659e+01
7.597541666666666985e+09,-9.500000000000000000e+01
7.597550000000000000e+09,-8.600000000000000000e+01
7.597558333333333015e+09,-9.632999999999999829e+01
7.597566666666666985e+09,-8.700000000000000000e+01
7.597575000000000000e+09,-9.565999999999999659e+01
7.597583333333333015e+09,-8.732999999999999829e+01
7.597591666666666985e+09,-9.565999999999999659e+01
7.597600000000000000e+09,-8.582999999999999829e+01
7.597608333333333015e+09,-9.515999999999999659e+01
7.597616666666666985e+09,-8.500000000000000000e+01
7.597625000000000000e+09,-9.515999999999999659e+01
7.597633333333333015e+09,-8.682999999999999829e+01
7.597641666666666985e+09,-9.532999999999999829e+01
7.597650000000000000e+09,-8.750000000000000000e+01
7.597658333333333015e+09,-9.432999999999999829e+01
7.597666666666666985e+09,-8.650000000000000000e+01
7.597675000000000000e+09,-9.582999999999999829e+01
7.597683333333333015e+09,-8.832999999999999829e+01
7.597691666666666985e+09,-9.600000000000000000e+01
7.597700000000000000e+09,-8.465999999999999659e+01
7.597708333333333015e+09,-9.500000000000000000e+01
7.597716666666666985e+09,-8.650000000000000000e+01
7.597725000000000000e+09,-9.532999999999999829e+01
7.597733333333333015e+09,-8.600000000000000000e+01
7.597741666666666985e+09,-9.532999999999999829e+01
7.597750000000000000e+09,-8.665999999999999659e+01
7.597758333333333015e+09,-9.532999999999999829e+01
7.597766666666666985e+09,-8.582999999999999829e+01
7.597775000000000000e+09,-9.532999999999999829e+01
7.597783333333333015e+09,-8.450000000000000000e+01
7.597791666666666985e+09,-9.550000000000000000e+01
7.597800000000000000e+09,-8.732999999999999829e+01
7.597808333333333015e+09,-9.565999999999999659e+01
7.597816666666666985e+09,-8.865999999999999659e+01
7.597825000000000000e+09,-9.532999999999999829e+01
7.597833333333333015e+09,-8.632999999999999829e+01
7.597841666666666985e+09,-9.650000000000000000e+01
7.597850000000000000e+09,-8.582999999999999829e+01
7.597858333333333015e+09,-9.500000000000000000e+01
7.597866666666666985e+09,-8.682999999999999829e+01
7.597875000000000000e+09,-9.582999999999999829e+01
7.597883333333333015e+09,-8.865999999999999659e+01
7.597891666666666985e+09,-9.582999999999999829e+01
7.597900000000000000e+09,-8.850000000000000000e+01
7.597908333333333015e+09,-9.532999999999999829e+01
7.597916666666666985e+09,-8.932999999999999829e+01
7.597925000000000000e+09,-9.565999999999999659e+01
7.597933333333333015e+09,-8.650000000000000000e+01
7.597941666666666985e+09,-9.500000000000000000e+01
7.597950000000000000e+09,-8.615999999999999659e+01
7.597958333333333015e+09,-9.550000000000000000e+01
7.597966666666666985e+09,-8.615999999999999659e+01
7.597975000000000000e+09,-9.532999999999999829e+01
7.597983333333333015e+09,-8.450000000000000000e+01
7.597991666666666985e+09,-9.500000000000000000e+01
7.598000000000000000e+09,-8.432999999999999829e+01
7.598008333333333015e+09,-9.515999999999999659e+01
7.598016666666666985e+09,-8.682999999999999829e+01
7.598025000000000000e+09,-9.532999999999999829e+01
7.598033333333333015e+09,-8.582999999999999829e+01
7.598041666666666985e+09,-9.515999999999999659e+01
7.598050000000000000e+09,-8.600000000000000000e+01
7.598058333333333015e+09,-9.550000000000000000e+01
7.598066666666666985e+09,-8.565999999999999659e+01
7.598075000000000000e+09,-9.532999999999999829e+01
7.598083333333333015e+09,-8.582999999999999829e+01
7.598091666666666985e+09,-9.600000000000000000e+01
7.598100000000000000e+09,-8.865999999999999659e+01
7.598108333333333015e+09,-9.615999999999999659e+01
7.598116666666666985e+09,-8.900000000000000000e+01
7.598125000000000000e+09,-9.600000000000000000e+01
7.598133333333333015e+09,-8.782999999999999829e+01
7.598141666666666985e+09,-9.532999999999999829e+01
7.598150000000000000e+09,-8.650000000000000000e+01
7.598158333333333015e+09,-9.532999999999999829e+01
7.598166666666666985e+09,-8.800000000000000000e+01
7.598175000000000000e+09,-9.600000000000000000e+01
7.598183333333333015e+09,-8.532999999999999829e+01
7.598191666666666985e+09,-9.550000000000000000e+01
7.598200000000000000e+09,-8.432999999999999829e+01
7.598208333333333015e+09,-9.550000000000000000e+01
7.598216666666666985e+09,-8.632999999999999829e+01
7.598225000000000000e+09,-9.550000000000000000e+01
7.598233333333333015e+09,-8.582999999999999829e+01
7.598241666666666985e+09,-9.565999999999999659e+01
7.598250000000000000e+09,-8.632999999999999829e+01
7.598258333333333015e+09,-9.565999999999999659e+01
7.598266666666666985e+09,-8.482999999999999829e+01
7.598275000000000000e+09,-9.582999999999999829e+01
7.598283333333333015e+09,-8.515999999999999659e+01
7.598291666666666985e+09,-9.515999999999999659e+01
7.598300000000000000e+09,-8.615999999999999659e+01
7.598308333333333015e+09,-9.500000000000000000e+01
7.598316666666666985e+09,-8.732999999999999829e+01
7.598325000000000000e+09,-9.500000000000000000e+01
7.598333333333333015e+09,-8.450000000000000000e+01
7.598341666666666985e+09,-9.565999999999999659e+01
7.598350000000000000e+09,-8.532999999999999829e+01
7.598358333333333015e+09,-9.515999999999999659e+01
7.598366666666666985e+09,-8.682999999999999829e+01
7.598375000000000000e+09,-9.482999999999999829e+01
