Date: 2026-04-19_22-37-01
Center Frequency (Hz): 7600000000.0
Span (Hz): 50000000.0
RBW (Hz): 100000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
7.575000000000000000e+09,-7.300000000000000000e+01
7.575083333333333015e+09,-9.550000000000000000e+01
7.575166666666666985e+09,-7.400000000000000000e+01
7.575250000000000000e+09,-9.515999999999999659e+01
7.575333333333333015e+09,-7.400000000000000000e+01
7.575416666666666985e+09,-9.350000000000000000e+01
7.575500000000000000e+09,-7.200000000000000000e+01
7.575583333333333015e+09,-9.182999999999999829e+01
7.575666666666666985e+09,-7.482999999999999829e+01
7.575750000000000000e+09,-9.382999999999999829e+01
7.575833333333333015e+09,-7.400000000000000000e+01
7.575916666666666985e+09,-9.582999999999999829e+01
7.576000000000000000e+09,-7.250000000000000000e+01
7.576083333333333015e+09,-9.050000000000000000e+01
7.576166666666666985e+09,-7.565999999999999659e+01
7.576250000000000000e+09,-8.750000000000000000e+01
7.576333333333333015e+09,-7.232999999999999829e+01
7.576416666666666985e+09,-9.515999999999999659e+01
7.576500000000000000e+09,-7.332999999999999829e+01
7.576583333333333015e+09,-9.532999999999999829e+01
7.576666666666666985e+09,-7.332999999999999829e+01
7.576750000000000000e+09,-9.365999999999999659e+01
7.576833333333333015e+09,-7.282999999999999829e+01
7.576916666666666985e+09,-9.050000000000000000e+01
7.577000000000000000e+09,-7.332999999999999829e+01
7.577083333333333015e+09,-9.365999999999999659e+01
7.577166666666666985e+09,-7.415999999999999659e+01
7.577250000000000000e+09,-9.332999999999999829e+01
7.577333333333333015e+09,-7.500000000000000000e+01
7.577416666666666985e+09,-9.382999999999999829e+01
7.577500000000000000e+09,-7.365999999999999659e+01
7.577583333333333015e+09,-8.915999999999999659e+01
7.577666666666666985e+09,-7.315999999999999659e+01
7.577750000000000000e+09,-9.265999999999999659e+01
7.577833333333333015e+09,-7.515999999999999659e+01
7.577916666666666985e+09,-9.182999999999999829e+01
7.578000000000000000e+09,-7.282999999999999829e+01
7.578083333333333015e+09,-9.250000000000000000e+01
7.578166666666666985e+09,-7.482999999999999829e+01
7.578250000000000000e+09,-9.215999999999999659e+01
7.578333333333333015e+09,-7.300000000000000000e+01
7.578416666666666985e+09,-9.200000000000000000e+01
7.578500000000000000e+09,-7.400000000000000000e+01
7.578583333333333015e+09,-9.200000000000000000e+01
7.578666666666666985e+09,-7.332999999999999829e+01
7.578750000000000000e+09,-9.100000000000000000e+01
7.578833333333333015e+09,-7.400000000000000000e+01
7.578916666666666985e+09,-9.365999999999999659e+01
7.579000000000000000e+09,-7.465999999999999659e+01
7.579083333333333015e+09,-9.200000000000000000e+01
7.579166666666666985e+09,-7.215999999999999659e+01
7.579250000000000000e+09,-9.800000000000000000e+01
7.579333333333333015e+09,-7.300000000000000000e+01
7.579416666666666985e+09,-9.500000000000000000e+01
7.579500000000000000e+09,-7.265999999999999659e+01
7.579583333333333015e+09,-9.182999999999999829e+01
7.579666666666666985e+09,-7.150000000000000000e+01
7.579750000000000000e+09,-9.232999999999999829e+01
7.579833333333333015e+09,-7.315999999999999659e+01
7.579916666666666985e+09,-9.265999999999999659e+01
7.580000000000000000e+09,-7.500000000000000000e+01
7.580083333333333015e+09,-9.200000000000000000e+01
7.580166666666666985e+09,-7.582999999999999829e+01
7.580250000000000000e+09,-9.500000000000000000e+01
7.580333333333333015e+09,-7.500000000000000000e+01
7.580416666666666985e+09,-9.665999999999999659e+01
7.580500000000000000e+09,-7.565999999999999659e+01
7.580583333333333015e+09,-9.550000000000000000e+01
7.580666666666666985e+09,-7.415999999999999659e+01
7.580750000000000000e+09,-9.050000000000000000e+01
7.580833333333333015e+09,-7.465999999999999659e+01
7.580916666666666985e+09,-9.332999999999999829e+01
7.581000000000000000e+09,-7.365999999999999659e+01
7.581083333333333015e+09,-9.282999999999999829e+01
7.581166666666666985e+09,-7.350000000000000000e+01
7.581250000000000000e+09,-9.365999999999999659e+01
7.581333333333333015e+09,-7.300000000000000000e+01
7.581416666666666985e+09,-9.015999999999999659e+01
7.581500000000000000e+09,-7.415999999999999659e+01
7.581583333333333015e+09,-9.250000000000000000e+01
7.581666666666666985e+09,-7.432999999999999829e+01
7.581750000000000000e+09,-9.232999999999999829e+01
7.581833333333333015e+09,-7.400000000000000000e+01
7.581916666666666985e+09,-9.515999999999999659e+01
7.582000000000000000e+09,-7.432999999999999829e+01
7.582083333333333015e+09,-9.000000000000000000e+01
7.582166666666666985e+09,-7.265999999999999659e+01
7.582250000000000000e+09,-9.200000000000000000e+01
7.582333333333333015e+09,-7.232999999999999829e+01
7.582416666666666985e+09,-9.265999999999999659e+01
7.582500000000000000e+09,-7.332999999999999829e+01
7.582583333333333015e+09,-9.265999999999999659e+01
7.582666666666666985e+09,-7.532999999999999829e+01
7.582750000000000000e+09,-9.215999999999999659e+01
7.582833333333333015e+09,-7.615999999999999659e+01
7.582916666666666985e+09,-8.950000000000000000e+01
7.583000000000000000e+09,-7.365999999999999659e+01
7.583083333333333015e+09,-9.432999999999999829e+01
7.583166666666666985e+09,-7.332999999999999829e+01
7.583250000000000000e+09,-9.400000000000000000e+01
7.583333333333333015e+09,-7.400000000000000000e+01
7.583416666666666985e+09,-9.532999999999999829e+01
7.583500000000000000e+09,-7.432999999999999829e+01
7.583583333333333015e+09,-9.200000000000000000e+01
7.583666666666666985e+09,-7.215999999999999659e+01
7.583750000000000000e+09,-9.165999999999999659e+01
7.583833333333333015e+09,-7.315999999999999659e+01
7.583916666666666985e+09,-9.150000000000000000e+01
7.584000000000000000e+09,-7.350000000000000000e+01
7.584083333333333015e+09,-9.232999999999999829e+01
7.584166666666666985e+09,-7.165999999999999659e+01
7.584250000000000000e+09,-9.132999999999999829e+01
7.584333333333333015e+09,-7.215999999999999659e+01
7.584416666666666985e+09,-9.600000000000000000e+01
7.584500000000000000e+09,-7.415999999999999659e+01
