Date: 2026-04-28_14-03-07
Center Frequency (Hz): 7600000000.0
Span (Hz): 10000000.0
RBW (Hz): 100000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
7.595000000000000000e+09,-5.532999999999999829e+01
7.595016666666666985e+09,-7.750000000000000000e+01
7.595033333333333015e+09,-5.582999999999999829e+01
7.595050000000000000e+09,-7.900000000000000000e+01
7.595066666666666985e+09,-5.215999999999999659e+01
7.595083333333333015e+09,-6.800000000000000000e+01
7.595100000000000000e+09,-5.465999999999999659e+01
7.595116666666666985e+09,-7.465999999999999659e+01
7.595133333333333015e+09,-5.432999999999999829e+01
7.595150000000000000e+09,-6.932999999999999829e+01
7.595166666666666985e+09,-5.515999999999999659e+01
7.595183333333333015e+09,-7.565999999999999659e+01
7.595200000000000000e+09,-5.450000000000000000e+01
7.595216666666666985e+09,-7.450000000000000000e+01
7.595233333333333015e+09,-5.265999999999999659e+01
7.595250000000000000e+09,-7.865999999999999659e+01
7.595266666666666985e+09,-5.632999999999999829e+01
7.595283333333333015e+09,-7.600000000000000000e+01
7.595300000000000000e+09,-5.465999999999999659e+01
7.595316666666666985e+09,-7.565999999999999659e+01
7.595333333333333015e+09,-5.482999999999999829e+01
7.595350000000000000e+09,-6.950000000000000000e+01
7.595366666666666985e+09,-5.182999999999999829e+01
7.595383333333333015e+09,-7.365999999999999659e+01
7.595400000000000000e+09,-5.232999999999999829e+01
7.595416666666666985e+09,-7.632999999999999829e+01
7.595433333333333015e+09,-5.282999999999999829e+01
7.595450000000000000e+09,-7.250000000000000000e+01
7.595466666666666985e+09,-5.415999999999999659e+01
7.595483333333333015e+09,-7.632999999999999829e+01
7.595500000000000000e+09,-5.632999999999999829e+01
7.595516666666666985e+09,-7.615999999999999659e+01
7.595533333333333015e+09,-5.565999999999999659e+01
7.595550000000000000e+09,-7.300000000000000000e+01
7.595566666666666985e+09,-5.482999999999999829e+01
7.595583333333333015e+09,-7.500000000000000000e+01
7.595600000000000000e+09,-5.500000000000000000e+01
7.595616666666666985e+09,-7.632999999999999829e+01
7.595633333333333015e+09,-5.565999999999999659e+01
7.595650000000000000e+09,-7.365999999999999659e+01
7.595666666666666985e+09,-5.450000000000000000e+01
7.595683333333333015e+09,-7.165999999999999659e+01
7.595700000000000000e+09,-5.550000000000000000e+01
7.595716666666666985e+09,-7.515999999999999659e+01
7.595733333333333015e+09,-5.415999999999999659e+01
7.595750000000000000e+09,-7.682999999999999829e+01
7.595766666666666985e+09,-5.132999999999999829e+01
7.595783333333333015e+09,-7.515999999999999659e+01
7.595800000000000000e+09,-5.432999999999999829e+01
7.595816666666666985e+09,-7.365999999999999659e+01
7.595833333333333015e+09,-5.400000000000000000e+01
7.595850000000000000e+09,-7.515999999999999659e+01
7.595866666666666985e+09,-5.415999999999999659e+01
7.595883333333333015e+09,-7.832999999999999829e+01
7.595900000000000000e+09,-5.532999999999999829e+01
7.595916666666666985e+09,-6.882999999999999829e+01
7.595933333333333015e+09,-5.182999999999999829e+01
7.595950000000000000e+09,-7.032999999999999829e+01
7.595966666666666985e+09,-5.332999999999999829e+01
7.595983333333333015e+09,-7.750000000000000000e+01
7.596000000000000000e+09,-5.465999999999999659e+01
7.596016666666666985e+09,-7.650000000000000000e+01
7.596033333333333015e+09,-5.550000000000000000e+01
7.596050000000000000e+09,-7.400000000000000000e+01
7.596066666666666985e+09,-5.282999999999999829e+01
7.596083333333333015e+09,-7.665999999999999659e+01
7.596100000000000000e+09,-5.582999999999999829e+01
7.596116666666666985e+09,-7.200000000000000000e+01
7.596133333333333015e+09,-5.550000000000000000e+01
7.596150000000000000e+09,-7.532999999999999829e+01
7.596166666666666985e+09,-5.432999999999999829e+01
7.596183333333333015e+09,-7.082999999999999829e+01
7.596200000000000000e+09,-5.482999999999999829e+01
7.596216666666666985e+09,-7.300000000000000000e+01
7.596233333333333015e+09,-5.482999999999999829e+01
7.596250000000000000e+09,-7.615999999999999659e+01
7.596266666666666985e+09,-5.515999999999999659e+01
7.596283333333333015e+09,-7.500000000000000000e+01
7.596300000000000000e+09,-5.615999999999999659e+01
7.596316666666666985e+09,-7.000000000000000000e+01
7.596333333333333015e+09,-5.165999999999999659e+01
7.596350000000000000e+09,-7.132999999999999829e+01
7.596366666666666985e+09,-5.232999999999999829e+01
7.596383333333333015e+09,-7.082999999999999829e+01
7.596400000000000000e+09,-5.265999999999999659e+01
7.596416666666666985e+09,-7.100000000000000000e+01
7.596433333333333015e+09,-5.465999999999999659e+01
7.596450000000000000e+09,-7.632999999999999829e+01
7.596466666666666985e+09,-5.265999999999999659e+01
7.596483333333333015e+09,-7.165999999999999659e+01
7.596500000000000000e+09,-5.215999999999999659e+01
7.596516666666666985e+09,-7.900000000000000000e+01
7.596533333333333015e+09,-5.450000000000000000e+01
7.596550000000000000e+09,-6.932999999999999829e+01
7.596566666666666985e+09,-5.315999999999999659e+01
7.596583333333333015e+09,-7.882999999999999829e+01
7.596600000000000000e+09,-5.450000000000000000e+01
7.596616666666666985e+09,-7.565999999999999659e+01
7.596633333333333015e+09,-5.482999999999999829e+01
7.596650000000000000e+09,-7.265999999999999659e+01
7.596666666666666985e+09,-5.582999999999999829e+01
7.596683333333333015e+09,-7.782999999999999829e+01
7.596700000000000000e+09,-5.365999999999999659e+01
7.596716666666666985e+09,-7.915999999999999659e+01
7.596733333333333015e+09,-5.465999999999999659e+01
7.596750000000000000e+09,-7.115999999999999659e+01
7.596766666666666985e+09,-5.600000000000000000e+01
7.596783333333333015e+09,-7.282999999999999829e+01
7.596800000000000000e+09,-5.515999999999999659e+01
7.596816666666666985e+09,-7.250000000000000000e+01
7.596833333333333015e+09,-5.532999999999999829e+01
7.596850000000000000e+09,-7.350000000000000000e+01
7.596866666666666985e+09,-5.232999999999999829e+01
7.596883333333333015e+09,-7.782999999999999829e+01
7.596900000000000000e+09,-5.450000000000000000e+01
7.596916666666666985e+09,-7.450000000000000000e+01
7.596933333333333015e+09,-5.600000000000000000e+01
7.596950000000000000e+09,-7.882999999999999829e+01
7.596966666666666985e+09,-5.415999999999999659e+01
7.596983333333333015e+09,-7.215999999999999659e+01
7.597000000000000000e+09,-5.515999999999999659e+01
7.597016666666666985e+09,-7.315999999999999659e+01
7.597033333333333015e+09,-5.582999999999999829e+01
7.597050000000000000e+09,-7.350000000000000000e+01
7.597066666666666985e+09,-5.432999999999999829e+01
7.597083333333333015e+09,-7.782999999999999829e+01
7.597100000000000000e+09,-5.550000000000000000e+01
7.597116666666666985e+09,-7.415999999999999659e+01
7.597133333333333015e+09,-5.432999999999999829e+01
7.597150000000000000e+09,-7.032999999999999829e+01
7.597166666666666985e+09,-5.550000000000000000e+01
7.597183333333333015e+09,-7.532999999999999829e+01
7.597200000000000000e+09,-5.600000000000000000e+01
7.597216666666666985e+09,-7.865999999999999659e+01
7.597233333333333015e+09,-5.565999999999999659e+01
7.597250000000000000e+09,-7.665999999999999659e+01
7.597266666666666985e+09,-5.450000000000000000e+01
7.597283333333333015e+09,-7.350000000000000000e+01
7.597300000000000000e+09,-5.482999999999999829e+01
7.597316666666666985e+09,-7.615999999999999659e+01
7.597333333333333015e+09,-5.465999999999999659e+01
7.597350000000000000e+09,-7.550000000000000000e+01
7.597366666666666985e+09,-5.500000000000000000e+01
7.597383333333333015e+09,-7.950000000000000000e+01
7.597400000000000000e+09,-5.215999999999999659e+01
7.597416666666666985e+09,-7.550000000000000000e+01
7.597433333333333015e+09,-5.282999999999999829e+01
7.597450000000000000e+09,-7.482999999999999829e+01
7.597466666666666985e+09,-5.365999999999999659e+01
7.597483333333333015e+09,-7.615999999999999659e+01
7.597500000000000000e+09,-5.532999999999999829e+01
7.597516666666666985e+09,-7.682999999999999829e+01
7.597533333333333015e+09,-5.482999999999999829e+01
7.597550000000000000e+09,-7.732999999999999829e+01
7.597566666666666985e+09,-5.482999999999999829e+01
7.597583333333333015e+09,-7.350000000000000000e+01
7.597600000000000000e+09,-5.565999999999999659e+01
7.597616666666666985e+09,-7.982999999999999829e+01
7.597633333333333015e+09,-5.382999999999999829e+01
7.597650000000000000e+09,-7.832999999999999829e+01
7.597666666666666985e+09,-5.350000000000000000e+01
7.597683333333333015e+09,-7.800000000000000000e+01
7.597700000000000000e+09,-5.550000000000000000e+01
7.597716666666666985e+09,-7.450000000000000000e+01
7.597733333333333015e+09,-5.665999999999999659e+01
7.597750000000000000e+09,-7.250000000000000000e+01
7.597766666666666985e+09,-5.415999999999999659e+01
7.597783333333333015e+09,-7.365999999999999659e+01
7.597800000000000000e+09,-5.450000000000000000e+01
7.597816666666666985e+09,-6.750000000000000000e+01
7.597833333333333015e+09,-5.315999999999999659e+01
7.597850000000000000e+09,-7.632999999999999829e+01
7.597866666666666985e+09,-5.182999999999999829e+01
7.597883333333333015e+09,-7.750000000000000000e+01
7.597900000000000000e+09,-5.500000000000000000e+01
7.597916666666666985e+09,-7.365999999999999659e+01
7.597933333333333015e+09,-5.215999999999999659e+01
7.597950000000000000e+09,-7.365999999999999659e+01
7.597966666666666985e+09,-5.400000000000000000e+01
7.597983333333333015e+09,-7.582999999999999829e+01
7.598000000000000000e+09,-5.432999999999999829e+01
7.598016666666666985e+09,-7.300000000000000000e+01
7.598033333333333015e+09,-5.600000000000000000e+01
7.598050000000000000e+09,-7.715999999999999659e+01
7.598066666666666985e+09,-5.382999999999999829e+01
7.598083333333333015e+09,-7.165999999999999659e+01
7.598100000000000000e+09,-5.532999999999999829e+01
7.598116666666666985e+09,-7.615999999999999659e+01
7.598133333333333015e+09,-5.415999999999999659e+01
7.598150000000000000e+09,-7.232999999999999829e+01
7.598166666666666985e+09,-5.232999999999999829e+01
7.598183333333333015e+09,-7.315999999999999659e+01
7.598200000000000000e+09,-5.350000000000000000e+01
7.598216666666666985e+09,-7.650000000000000000e+01
7.598233333333333015e+09,-5.200000000000000000e+01
7.598250000000000000e+09,-7.500000000000000000e+01
7.598266666666666985e+09,-5.465999999999999659e+01
7.598283333333333015e+09,-6.682999999999999829e+01
7.598300000000000000e+09,-5.515999999999999659e+01
7.598316666666666985e+09,-7.715999999999999659e+01
7.598333333333333015e+09,-5.650000000000000000e+01
7.598350000000000000e+09,-7.100000000000000000e+01
7.598366666666666985e+09,-5.432999999999999829e+01
7.598383333333333015e+09,-7.850000000000000000e+01
7.598400000000000000e+09,-5.465999999999999659e+01
7.598416666666666985e+09,-7.732999999999999829e+01
7.598433333333333015e+09,-5.282999999999999829e+01
7.598450000000000000e+09,-7.465999999999999659e+01
7.598466666666666985e+09,-4.915999999999999659e+01
7.598483333333333015e+09,-6.882999999999999829e+01
7.598500000000000000e+09,-5.482999999999999829e+01
