Date: 2026-04-28_14-42-05
Center Frequency (Hz): 2400000000.0
Span (Hz): 10000000.0
RBW (Hz): 100000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
2.395000000000000000e+09,-5.715999999999999659e+01
2.395016666666666508e+09,-7.932999999999999829e+01
2.395033333333333492e+09,-6.065999999999999659e+01
2.395050000000000000e+09,-7.765999999999999659e+01
2.395066666666666508e+09,-5.850000000000000000e+01
2.395083333333333492e+09,-7.832999999999999829e+01
2.395100000000000000e+09,-6.065999999999999659e+01
2.395116666666666508e+09,-7.932999999999999829e+01
2.395133333333333492e+09,-5.850000000000000000e+01
2.395150000000000000e+09,-7.832999999999999829e+01
2.395166666666666508e+09,-6.232999999999999829e+01
2.395183333333333492e+09,-7.700000000000000000e+01
2.395200000000000000e+09,-5.632999999999999829e+01
2.395216666666666508e+09,-7.700000000000000000e+01
2.395233333333333492e+09,-5.982999999999999829e+01
2.395250000000000000e+09,-8.000000000000000000e+01
2.395266666666666508e+09,-6.182999999999999829e+01
2.395283333333333492e+09,-7.682999999999999829e+01
2.395300000000000000e+09,-6.000000000000000000e+01
2.395316666666666508e+09,-8.115999999999999659e+01
2.395333333333333492e+09,-6.182999999999999829e+01
2.395350000000000000e+09,-7.732999999999999829e+01
2.395366666666666508e+09,-6.000000000000000000e+01
2.395383333333333492e+09,-7.682999999999999829e+01
2.395400000000000000e+09,-5.882999999999999829e+01
2.395416666666666508e+09,-8.065999999999999659e+01
2.395433333333333492e+09,-6.032999999999999829e+01
2.395450000000000000e+09,-8.050000000000000000e+01
2.395466666666666508e+09,-6.000000000000000000e+01
2.395483333333333492e+09,-8.065999999999999659e+01
2.395500000000000000e+09,-5.832999999999999829e+01
2.395516666666666508e+09,-7.165999999999999659e+01
2.395533333333333492e+09,-5.865999999999999659e+01
2.395550000000000000e+09,-7.815999999999999659e+01
2.395566666666666508e+09,-6.150000000000000000e+01
2.395583333333333492e+09,-7.950000000000000000e+01
2.395600000000000000e+09,-6.100000000000000000e+01
2.395616666666666508e+09,-7.300000000000000000e+01
2.395633333333333492e+09,-5.932999999999999829e+01
2.395650000000000000e+09,-7.600000000000000000e+01
2.395666666666666508e+09,-5.665999999999999659e+01
2.395683333333333492e+09,-7.782999999999999829e+01
2.395700000000000000e+09,-6.200000000000000000e+01
2.395716666666666508e+09,-7.915999999999999659e+01
2.395733333333333492e+09,-6.082999999999999829e+01
2.395750000000000000e+09,-7.750000000000000000e+01
2.395766666666666508e+09,-6.082999999999999829e+01
2.395783333333333492e+09,-8.065999999999999659e+01
2.395800000000000000e+09,-5.700000000000000000e+01
2.395816666666666508e+09,-7.965999999999999659e+01
2.395833333333333492e+09,-5.832999999999999829e+01
2.395850000000000000e+09,-7.882999999999999829e+01
2.395866666666666508e+09,-5.765999999999999659e+01
2.395883333333333492e+09,-7.832999999999999829e+01
2.395900000000000000e+09,-5.850000000000000000e+01
2.395916666666666508e+09,-7.682999999999999829e+01
2.395933333333333492e+09,-6.300000000000000000e+01
2.395950000000000000e+09,-7.550000000000000000e+01
2.395966666666666508e+09,-5.782999999999999829e+01
2.395983333333333492e+09,-7.950000000000000000e+01
2.396000000000000000e+09,-6.115999999999999659e+01
2.396016666666666508e+09,-7.715999999999999659e+01
2.396033333333333492e+09,-5.900000000000000000e+01
2.396050000000000000e+09,-7.482999999999999829e+01
2.396066666666666508e+09,-5.900000000000000000e+01
2.396083333333333492e+09,-7.915999999999999659e+01
2.396100000000000000e+09,-5.800000000000000000e+01
2.396116666666666508e+09,-7.615999999999999659e+01
2.396133333333333492e+09,-5.832999999999999829e+01
2.396150000000000000e+09,-7.815999999999999659e+01
2.396166666666666508e+09,-5.850000000000000000e+01
2.396183333333333492e+09,-7.815999999999999659e+01
2.396200000000000000e+09,-5.850000000000000000e+01
2.396216666666666508e+09,-7.400000000000000000e+01
2.396233333333333492e+09,-5.800000000000000000e+01
2.396250000000000000e+09,-7.815999999999999659e+01
2.396266666666666508e+09,-5.865999999999999659e+01
2.396283333333333492e+09,-7.832999999999999829e+01
2.396300000000000000e+09,-6.082999999999999829e+01
2.396316666666666508e+09,-7.582999999999999829e+01
2.396333333333333492e+09,-5.715999999999999659e+01
2.396350000000000000e+09,-7.715999999999999659e+01
2.396366666666666508e+09,-5.950000000000000000e+01
2.396383333333333492e+09,-7.832999999999999829e+01
2.396400000000000000e+09,-6.315999999999999659e+01
