Date: 2026-04-28_14-44-34
Center Frequency (Hz): 2400000000.0
Span (Hz): 500000000.0
RBW (Hz): 2000000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
2.150000000000000000e+09,-6.382999999999999829e+01
2.150833333333333492e+09,-8.815999999999999659e+01
2.151666666666666508e+09,-6.515999999999999659e+01
2.152500000000000000e+09,-8.632999999999999829e+01
2.153333333333333492e+09,-6.182999999999999829e+01
2.154166666666666508e+09,-8.832999999999999829e+01
2.155000000000000000e+09,-6.450000000000000000e+01
2.155833333333333492e+09,-9.082999999999999829e+01
2.156666666666666508e+09,-6.265999999999999659e+01
2.157500000000000000e+09,-8.915999999999999659e+01
2.158333333333333492e+09,-6.232999999999999829e+01
2.159166666666666508e+09,-8.800000000000000000e+01
2.160000000000000000e+09,-6.415999999999999659e+01
2.160833333333333492e+09,-8.950000000000000000e+01
2.161666666666666508e+09,-6.432999999999999829e+01
2.162500000000000000e+09,-8.900000000000000000e+01
2.163333333333333492e+09,-6.432999999999999829e+01
2.164166666666666508e+09,-8.915999999999999659e+01
2.165000000000000000e+09,-6.282999999999999829e+01
2.165833333333333492e+09,-9.000000000000000000e+01
2.166666666666666508e+09,-6.200000000000000000e+01
2.167500000000000000e+09,-8.682999999999999829e+01
2.168333333333333492e+09,-6.432999999999999829e+01
2.169166666666666508e+09,-8.982999999999999829e+01
2.170000000000000000e+09,-6.465999999999999659e+01
2.170833333333333492e+09,-9.065999999999999659e+01
2.171666666666666508e+09,-6.482999999999999829e+01
2.172500000000000000e+09,-9.350000000000000000e+01
2.173333333333333492e+09,-6.450000000000000000e+01
2.174166666666666508e+09,-8.982999999999999829e+01
2.175000000000000000e+09,-6.265999999999999659e+01
2.175833333333333492e+09,-8.600000000000000000e+01
2.176666666666666508e+09,-6.282999999999999829e+01
2.177500000000000000e+09,-8.750000000000000000e+01
2.178333333333333492e+09,-6.400000000000000000e+01
2.179166666666666508e+09,-9.115999999999999659e+01
2.180000000000000000e+09,-6.450000000000000000e+01
2.180833333333333492e+09,-9.232999999999999829e+01
2.181666666666666508e+09,-6.232999999999999829e+01
2.182500000000000000e+09,-9.182999999999999829e+01
2.183333333333333492e+09,-6.450000000000000000e+01
2.184166666666666508e+09,-8.915999999999999659e+01
2.185000000000000000e+09,-6.450000000000000000e+01
2.185833333333333492e+09,-9.115999999999999659e+01
2.186666666666666508e+09,-6.350000000000000000e+01
2.187500000000000000e+09,-8.850000000000000000e+01
2.188333333333333492e+09,-6.332999999999999829e+01
2.189166666666666508e+09,-9.065999999999999659e+01
2.190000000000000000e+09,-6.265999999999999659e+01
2.190833333333333492e+09,-9.365999999999999659e+01
2.191666666666666508e+09,-6.300000000000000000e+01
2.192500000000000000e+09,-9.315999999999999659e+01
2.193333333333333492e+09,-6.450000000000000000e+01
2.194166666666666508e+09,-8.832999999999999829e+01
2.195000000000000000e+09,-6.382999999999999829e+01
2.195833333333333492e+09,-9.515999999999999659e+01
2.196666666666666508e+09,-6.382999999999999829e+01
2.197500000000000000e+09,-9.265999999999999659e+01
2.198333333333333492e+09,-6.450000000000000000e+01
2.199166666666666508e+09,-9.115999999999999659e+01
2.200000000000000000e+09,-6.365999999999999659e+01
2.200833333333333492e+09,-9.200000000000000000e+01
2.201666666666666508e+09,-6.450000000000000000e+01
2.202500000000000000e+09,-9.065999999999999659e+01
2.203333333333333492e+09,-6.432999999999999829e+01
2.204166666666666508e+09,-9.150000000000000000e+01
2.205000000000000000e+09,-6.332999999999999829e+01
2.205833333333333492e+09,-9.100000000000000000e+01
2.206666666666666508e+09,-6.400000000000000000e+01
2.207500000000000000e+09,-9.000000000000000000e+01
2.208333333333333492e+09,-6.215999999999999659e+01
2.209166666666666508e+09,-8.915999999999999659e+01
2.210000000000000000e+09,-6.350000000000000000e+01
2.210833333333333492e+09,-9.215999999999999659e+01
2.211666666666666508e+09,-6.315999999999999659e+01
2.212500000000000000e+09,-8.915999999999999659e+01
2.213333333333333492e+09,-6.215999999999999659e+01
2.214166666666666508e+09,-9.350000000000000000e+01
2.215000000000000000e+09,-6.515999999999999659e+01
2.215833333333333492e+09,-8.600000000000000000e+01
2.216666666666666508e+09,-6.432999999999999829e+01
2.217500000000000000e+09,-8.882999999999999829e+01
2.218333333333333492e+09,-6.315999999999999659e+01
2.219166666666666508e+09,-8.865999999999999659e+01
2.220000000000000000e+09,-6.400000000000000000e+01
2.220833333333333492e+09,-8.765999999999999659e+01
2.221666666666666508e+09,-6.232999999999999829e+01
2.222500000000000000e+09,-8.732999999999999829e+01
2.223333333333333492e+09,-6.265999999999999659e+01
2.224166666666666508e+09,-9.265999999999999659e+01
2.225000000000000000e+09,-6.450000000000000000e+01
2.225833333333333492e+09,-8.915999999999999659e+01
2.226666666666666508e+09,-6.332999999999999829e+01
2.227500000000000000e+09,-8.982999999999999829e+01
2.228333333333333492e+09,-6.415999999999999659e+01
2.229166666666666508e+09,-8.882999999999999829e+01
2.230000000000000000e+09,-6.382999999999999829e+01
2.230833333333333492e+09,-8.965999999999999659e+01
2.231666666666666508e+09,-6.400000000000000000e+01
2.232500000000000000e+09,-9.082999999999999829e+01
2.233333333333333492e+09,-6.432999999999999829e+01
2.234166666666666508e+09,-8.965999999999999659e+01
2.235000000000000000e+09,-6.282999999999999829e+01
2.235833333333333492e+09,-8.800000000000000000e+01
2.236666666666666508e+09,-6.365999999999999659e+01
2.237500000000000000e+09,-9.150000000000000000e+01
2.238333333333333492e+09,-6.515999999999999659e+01
2.239166666666666508e+09,-8.765999999999999659e+01
2.240000000000000000e+09,-6.515999999999999659e+01
2.240833333333333492e+09,-8.965999999999999659e+01
2.241666666666666508e+09,-6.465999999999999659e+01
2.242500000000000000e+09,-9.350000000000000000e+01
2.243333333333333492e+09,-6.432999999999999829e+01
2.244166666666666508e+09,-8.732999999999999829e+01
2.245000000000000000e+09,-6.350000000000000000e+01
2.245833333333333492e+09,-9.415999999999999659e+01
2.246666666666666508e+09,-6.265999999999999659e+01
2.247500000000000000e+09,-9.132999999999999829e+01
2.248333333333333492e+09,-6.365999999999999659e+01
2.249166666666666508e+09,-9.215999999999999659e+01
2.250000000000000000e+09,-6.332999999999999829e+01
2.250833333333333492e+09,-9.100000000000000000e+01
2.251666666666666508e+09,-6.565999999999999659e+01
2.252500000000000000e+09,-8.750000000000000000e+01
2.253333333333333492e+09,-6.315999999999999659e+01
2.254166666666666508e+09,-8.732999999999999829e+01
2.255000000000000000e+09,-6.400000000000000000e+01
2.255833333333333492e+09,-9.015999999999999659e+01
2.256666666666666508e+09,-6.300000000000000000e+01
2.257500000000000000e+09,-8.882999999999999829e+01
2.258333333333333492e+09,-6.282999999999999829e+01
2.259166666666666508e+09,-9.115999999999999659e+01
2.260000000000000000e+09,-6.450000000000000000e+01
2.260833333333333492e+09,-9.032999999999999829e+01
2.261666666666666508e+09,-6.432999999999999829e+01
2.262500000000000000e+09,-9.182999999999999829e+01
2.263333333333333492e+09,-6.415999999999999659e+01
2.264166666666666508e+09,-8.600000000000000000e+01
2.265000000000000000e+09,-6.382999999999999829e+01
2.265833333333333492e+09,-8.882999999999999829e+01
2.266666666666666508e+09,-6.415999999999999659e+01
2.267500000000000000e+09,-9.065999999999999659e+01
2.268333333333333492e+09,-6.450000000000000000e+01
2.269166666666666508e+09,-9.082999999999999829e+01
2.270000000000000000e+09,-6.282999999999999829e+01
2.270833333333333492e+09,-8.815999999999999659e+01
2.271666666666666508e+09,-6.150000000000000000e+01
2.272500000000000000e+09,-8.815999999999999659e+01
2.273333333333333492e+09,-6.382999999999999829e+01
2.274166666666666508e+09,-8.732999999999999829e+01
2.275000000000000000e+09,-6.382999999999999829e+01
2.275833333333333492e+09,-8.982999999999999829e+01
2.276666666666666508e+09,-6.382999999999999829e+01
2.277500000000000000e+09,-9.165999999999999659e+01
2.278333333333333492e+09,-6.382999999999999829e+01
2.279166666666666508e+09,-9.415999999999999659e+01
2.280000000000000000e+09,-6.250000000000000000e+01
2.280833333333333492e+09,-8.815999999999999659e+01
2.281666666666666508e+09,-6.300000000000000000e+01
2.282500000000000000e+09,-8.865999999999999659e+01
2.283333333333333492e+09,-6.415999999999999659e+01
2.284166666666666508e+09,-9.165999999999999659e+01
2.285000000000000000e+09,-6.300000000000000000e+01
2.285833333333333492e+09,-8.850000000000000000e+01
2.286666666666666508e+09,-6.565999999999999659e+01
2.287500000000000000e+09,-9.082999999999999829e+01
2.288333333333333492e+09,-6.432999999999999829e+01
2.289166666666666508e+09,-8.832999999999999829e+01
2.290000000000000000e+09,-6.415999999999999659e+01
2.290833333333333492e+09,-8.665999999999999659e+01
2.291666666666666508e+09,-6.332999999999999829e+01
2.292500000000000000e+09,-8.882999999999999829e+01
2.293333333333333492e+09,-6.400000000000000000e+01
2.294166666666666508e+09,-8.765999999999999659e+01
2.295000000000000000e+09,-6.415999999999999659e+01
2.295833333333333492e+09,-9.015999999999999659e+01
2.296666666666666508e+09,-6.400000000000000000e+01
2.297500000000000000e+09,-8.982999999999999829e+01
2.298333333333333492e+09,-6.465999999999999659e+01
2.299166666666666508e+09,-8.815999999999999659e+01
2.300000000000000000e+09,-6.400000000000000000e+01
2.300833333333333492e+09,-8.932999999999999829e+01
2.301666666666666508e+09,-6.465999999999999659e+01
2.302500000000000000e+09,-9.315999999999999659e+01
2.303333333333333492e+09,-6.382999999999999829e+01
2.304166666666666508e+09,-8.832999999999999829e+01
2.305000000000000000e+09,-6.465999999999999659e+01
2.305833333333333492e+09,-8.915999999999999659e+01
2.306666666666666508e+09,-6.415999999999999659e+01
2.307500000000000000e+09,-9.365999999999999659e+01
2.308333333333333492e+09,-6.315999999999999659e+01
2.309166666666666508e+09,-8.932999999999999829e+01
2.310000000000000000e+09,-6.382999999999999829e+01
2.310833333333333492e+09,-8.750000000000000000e+01
2.311666666666666508e+09,-6.415999999999999659e+01
2.312500000000000000e+09,-9.150000000000000000e+01
2.313333333333333492e+09,-6.350000000000000000e+01
2.314166666666666508e+09,-8.900000000000000000e+01
2.315000000000000000e+09,-6.350000000000000000e+01
2.315833333333333492e+09,-9.182999999999999829e+01
2.316666666666666508e+09,-6.350000000000000000e+01
2.317500000000000000e+09,-9.082999999999999829e+01
2.318333333333333492e+09,-6.532999999999999829e+01
2.319166666666666508e+09,-9.015999999999999659e+01
2.320000000000000000e+09,-6.415999999999999659e+01
2.320833333333333492e+09,-8.982999999999999829e+01
2.321666666666666508e+09,-6.515999999999999659e+01
2.322500000000000000e+09,-9.250000000000000000e+01
2.323333333333333492e+09,-6.465999999999999659e+01
2.324166666666666508e+09,-8.965999999999999659e+01
2.325000000000000000e+09,-6.415999999999999659e+01
2.325833333333333492e+09,-9.150000000000000000e+01
2.326666666666666508e+09,-6.315999999999999659e+01
2.327500000000000000e+09,-9.000000000000000000e+01
2.328333333333333492e+09,-6.382999999999999829e+01
2.329166666666666508e+09,-8.915999999999999659e+01
2.330000000000000000e+09,-6.232999999999999829e+01
2.330833333333333492e+09,-8.950000000000000000e+01
2.331666666666666508e+09,-6.365999999999999659e+01
2.332500000000000000e+09,-9.215999999999999659e+01
2.333333333333333492e+09,-6.082999999999999829e+01
2.334166666666666508e+09,-8.932999999999999829e+01
2.335000000000000000e+09,-6.332999999999999829e+01
2.335833333333333492e+09,-8.800000000000000000e+01
2.336666666666666508e+09,-6.350000000000000000e+01
2.337500000000000000e+09,-9.132999999999999829e+01
2.338333333333333492e+09,-6.315999999999999659e+01
2.339166666666666508e+09,-9.082999999999999829e+01
2.340000000000000000e+09,-6.450000000000000000e+01
2.340833333333333492e+09,-8.782999999999999829e+01
2.341666666666666508e+09,-6.382999999999999829e+01
2.342500000000000000e+09,-8.915999999999999659e+01
2.343333333333333492e+09,-6.400000000000000000e+01
2.344166666666666508e+09,-9.300000000000000000e+01
2.345000000000000000e+09,-6.465999999999999659e+01
2.345833333333333492e+09,-9.082999999999999829e+01
2.346666666666666508e+09,-6.415999999999999659e+01
2.347500000000000000e+09,-8.565999999999999659e+01
2.348333333333333492e+09,-6.315999999999999659e+01
2.349166666666666508e+09,-8.965999999999999659e+01
2.350000000000000000e+09,-6.450000000000000000e+01
2.350833333333333492e+09,-8.950000000000000000e+01
2.351666666666666508e+09,-6.350000000000000000e+01
2.352500000000000000e+09,-9.000000000000000000e+01
2.353333333333333492e+09,-6.350000000000000000e+01
2.354166666666666508e+09,-8.882999999999999829e+01
2.355000000000000000e+09,-6.365999999999999659e+01
2.355833333333333492e+09,-8.850000000000000000e+01
2.356666666666666508e+09,-6.300000000000000000e+01
2.357500000000000000e+09,-9.165999999999999659e+01
2.358333333333333492e+09,-6.365999999999999659e+01
2.359166666666666508e+09,-8.965999999999999659e+01
2.360000000000000000e+09,-6.200000000000000000e+01
2.360833333333333492e+09,-8.600000000000000000e+01
2.361666666666666508e+09,-6.432999999999999829e+01
2.362500000000000000e+09,-9.215999999999999659e+01
2.363333333333333492e+09,-6.315999999999999659e+01
2.364166666666666508e+09,-9.682999999999999829e+01
2.365000000000000000e+09,-6.400000000000000000e+01
2.365833333333333492e+09,-9.050000000000000000e+01
2.366666666666666508e+09,-6.315999999999999659e+01
2.367500000000000000e+09,-9.082999999999999829e+01
2.368333333333333492e+09,-6.365999999999999659e+01
2.369166666666666508e+09,-8.915999999999999659e+01
2.370000000000000000e+09,-6.500000000000000000e+01
2.370833333333333492e+09,-9.065999999999999659e+01
2.371666666666666508e+09,-6.400000000000000000e+01
2.372500000000000000e+09,-8.850000000000000000e+01
2.373333333333333492e+09,-6.350000000000000000e+01
2.374166666666666508e+09,-9.065999999999999659e+01
2.375000000000000000e+09,-6.482999999999999829e+01
2.375833333333333492e+09,-8.715999999999999659e+01
2.376666666666666508e+09,-6.382999999999999829e+01
2.377500000000000000e+09,-9.082999999999999829e+01
2.378333333333333492e+09,-6.300000000000000000e+01
2.379166666666666508e+09,-9.150000000000000000e+01
2.380000000000000000e+09,-6.082999999999999829e+01
2.380833333333333492e+09,-8.950000000000000000e+01
2.381666666666666508e+09,-6.332999999999999829e+01
2.382500000000000000e+09,-8.765999999999999659e+01
2.383333333333333492e+09,-6.332999999999999829e+01
2.384166666666666508e+09,-8.715999999999999659e+01
2.385000000000000000e+09,-6.365999999999999659e+01
2.385833333333333492e+09,-8.700000000000000000e+01
2.386666666666666508e+09,-6.282999999999999829e+01
2.387500000000000000e+09,-8.800000000000000000e+01
2.388333333333333492e+09,-6.365999999999999659e+01
2.389166666666666508e+09,-8.815999999999999659e+01
2.390000000000000000e+09,-6.315999999999999659e+01
2.390833333333333492e+09,-9.065999999999999659e+01
2.391666666666666508e+09,-6.332999999999999829e+01
2.392500000000000000e+09,-8.850000000000000000e+01
2.393333333333333492e+09,-6.315999999999999659e+01
2.394166666666666508e+09,-9.282999999999999829e+01
2.395000000000000000e+09,-6.432999999999999829e+01
2.395833333333333492e+09,-9.000000000000000000e+01
2.396666666666666508e+09,-6.100000000000000000e+01
2.397500000000000000e+09,-8.215999999999999659e+01
2.398333333333333492e+09,-5.032999999999999829e+01
2.399166666666666508e+09,-3.782999999999999829e+01
2.400000000000000000e+09,-3.350000000000000000e+01
2.400833333333333492e+09,-3.250000000000000000e+01
2.401666666666666508e+09,-3.315999999999999659e+01
2.402500000000000000e+09,-3.465999999999999659e+01
2.403333333333333492e+09,-4.400000000000000000e+01
2.404166666666666508e+09,-7.150000000000000000e+01
2.405000000000000000e+09,-5.415999999999999659e+01
2.405833333333333492e+09,-8.932999999999999829e+01
2.406666666666666508e+09,-6.350000000000000000e+01
2.407500000000000000e+09,-8.915999999999999659e+01
2.408333333333333492e+09,-6.282999999999999829e+01
2.409166666666666508e+09,-9.132999999999999829e+01
2.410000000000000000e+09,-6.482999999999999829e+01
2.410833333333333492e+09,-8.665999999999999659e+01
2.411666666666666508e+09,-6.300000000000000000e+01
2.412500000000000000e+09,-8.982999999999999829e+01
2.413333333333333492e+09,-6.432999999999999829e+01
2.414166666666666508e+09,-8.865999999999999659e+01
2.415000000000000000e+09,-6.300000000000000000e+01
2.415833333333333492e+09,-9.182999999999999829e+01
2.416666666666666508e+09,-6.250000000000000000e+01
2.417500000000000000e+09,-9.265999999999999659e+01
2.418333333333333492e+09,-6.465999999999999659e+01
2.419166666666666508e+09,-9.182999999999999829e+01
2.420000000000000000e+09,-6.282999999999999829e+01
2.420833333333333492e+09,-8.915999999999999659e+01
2.421666666666666508e+09,-6.232999999999999829e+01
2.422500000000000000e+09,-8.750000000000000000e+01
2.423333333333333492e+09,-6.332999999999999829e+01
2.424166666666666508e+09,-9.100000000000000000e+01
2.425000000000000000e+09,-6.332999999999999829e+01
2.425833333333333492e+09,-9.015999999999999659e+01
2.426666666666666508e+09,-6.365999999999999659e+01
2.427500000000000000e+09,-8.800000000000000000e+01
2.428333333333333492e+09,-6.450000000000000000e+01
2.429166666666666508e+09,-8.732999999999999829e+01
2.430000000000000000e+09,-6.415999999999999659e+01
2.430833333333333492e+09,-8.932999999999999829e+01
2.431666666666666508e+09,-6.132999999999999829e+01
2.432500000000000000e+09,-8.900000000000000000e+01
2.433333333333333492e+09,-6.215999999999999659e+01
2.434166666666666508e+09,-9.015999999999999659e+01
2.435000000000000000e+09,-6.315999999999999659e+01
2.435833333333333492e+09,-8.882999999999999829e+01
2.436666666666666508e+09,-6.215999999999999659e+01
2.437500000000000000e+09,-9.300000000000000000e+01
2.438333333333333492e+09,-6.400000000000000000e+01
2.439166666666666508e+09,-8.965999999999999659e+01
2.440000000000000000e+09,-6.382999999999999829e+01
2.440833333333333492e+09,-8.832999999999999829e+01
2.441666666666666508e+09,-6.282999999999999829e+01
2.442500000000000000e+09,-9.082999999999999829e+01
2.443333333333333492e+09,-6.282999999999999829e+01
2.444166666666666508e+09,-8.900000000000000000e+01
2.445000000000000000e+09,-6.465999999999999659e+01
2.445833333333333492e+09,-8.915999999999999659e+01
2.446666666666666508e+09,-6.232999999999999829e+01
