Date: 2026-04-28_16-53-27
Center Frequency (Hz): 12375000000.0
Span (Hz): 19250000000.0
RBW (Hz): 100000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
2.750000000000000000e+09,-5.750000000000000000e+01
2.782083333333333492e+09,-8.232999999999999829e+01
2.814166666666666508e+09,-5.715999999999999659e+01
2.846250000000000000e+09,-8.200000000000000000e+01
2.878333333333333492e+09,-5.815999999999999659e+01
2.910416666666666508e+09,-8.232999999999999829e+01
2.942500000000000000e+09,-5.700000000000000000e+01
2.974583333333333492e+09,-8.232999999999999829e+01
3.006666666666666508e+09,-5.732999999999999829e+01
3.038750000000000000e+09,-8.250000000000000000e+01
3.070833333333333492e+09,-5.700000000000000000e+01
3.102916666666666508e+09,-8.115999999999999659e+01
3.135000000000000000e+09,-5.682999999999999829e+01
3.167083333333333492e+09,-8.200000000000000000e+01
3.199166666666666508e+09,-5.800000000000000000e+01
3.231250000000000000e+09,-8.315999999999999659e+01
3.263333333333333492e+09,-5.665999999999999659e+01
3.295416666666666508e+09,-8.265999999999999659e+01
3.327500000000000000e+09,-5.650000000000000000e+01
3.359583333333333015e+09,-8.182999999999999829e+01
3.391666666666666508e+09,-5.700000000000000000e+01
3.423750000000000000e+09,-8.115999999999999659e+01
3.455833333333333015e+09,-5.615999999999999659e+01
3.487916666666666508e+09,-8.165999999999999659e+01
3.520000000000000000e+09,-5.700000000000000000e+01
3.552083333333333015e+09,-8.265999999999999659e+01
3.584166666666666508e+09,-5.715999999999999659e+01
3.616250000000000000e+09,-8.150000000000000000e+01
3.648333333333333015e+09,-5.732999999999999829e+01
3.680416666666666508e+09,-8.250000000000000000e+01
3.712500000000000000e+09,-5.665999999999999659e+01
3.744583333333333015e+09,-8.132999999999999829e+01
3.776666666666666508e+09,-5.682999999999999829e+01
3.808750000000000000e+09,-8.232999999999999829e+01
3.840833333333333015e+09,3.500000000000000000e+00
3.872916666666666508e+09,-8.215999999999999659e+01
3.905000000000000000e+09,-5.715999999999999659e+01
3.937083333333333015e+09,-8.232999999999999829e+01
3.969166666666666508e+09,-5.700000000000000000e+01
4.001250000000000000e+09,-8.182999999999999829e+01
4.033333333333333015e+09,-5.650000000000000000e+01
4.065416666666666508e+09,-8.200000000000000000e+01
4.097500000000000000e+09,-5.815999999999999659e+01
4.129583333333333015e+09,-8.200000000000000000e+01
4.161666666666666508e+09,-5.665999999999999659e+01
4.193750000000000000e+09,-8.215999999999999659e+01
4.225833333333333015e+09,-5.750000000000000000e+01
4.257916666666666508e+09,-8.100000000000000000e+01
4.290000000000000000e+09,-5.700000000000000000e+01
4.322083333333333015e+09,-8.200000000000000000e+01
4.354166666666666031e+09,-5.782999999999999829e+01
4.386250000000000000e+09,-8.215999999999999659e+01
4.418333333333333015e+09,-5.715999999999999659e+01
4.450416666666666031e+09,-8.282999999999999829e+01
4.482500000000000000e+09,-5.750000000000000000e+01
4.514583333333333015e+09,-8.300000000000000000e+01
