Date: 2026-04-28_18-10-52
Center Frequency (Hz): 10000000000.0
Span (Hz): 10000000.0
RBW (Hz): 30000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
9.995000000000000000e+09,-8.315999999999999659e+01
9.995016666666666031e+09,-9.500000000000000000e+01
9.995033333333333969e+09,-8.082999999999999829e+01
9.995050000000000000e+09,-8.865999999999999659e+01
9.995066666666666031e+09,-7.932999999999999829e+01
9.995083333333333969e+09,-9.232999999999999829e+01
9.995100000000000000e+09,-7.882999999999999829e+01
9.995116666666666031e+09,-9.800000000000000000e+01
9.995133333333333969e+09,-8.215999999999999659e+01
9.995150000000000000e+09,-9.382999999999999829e+01
9.995166666666666031e+09,-8.000000000000000000e+01
9.995183333333333969e+09,-9.200000000000000000e+01
9.995200000000000000e+09,-8.215999999999999659e+01
9.995216666666666031e+09,-9.400000000000000000e+01
9.995233333333333969e+09,-8.350000000000000000e+01
9.995250000000000000e+09,-8.350000000000000000e+01
9.995266666666666031e+09,-8.465999999999999659e+01
9.995283333333333969e+09,-9.382999999999999829e+01
9.995300000000000000e+09,-8.115999999999999659e+01
9.995316666666666031e+09,-9.500000000000000000e+01
9.995333333333333969e+09,-8.282999999999999829e+01
9.995350000000000000e+09,-9.015999999999999659e+01
9.995366666666666031e+09,-7.950000000000000000e+01
9.995383333333333969e+09,-9.415999999999999659e+01
9.995400000000000000e+09,-8.100000000000000000e+01
9.995416666666666031e+09,-9.165999999999999659e+01
9.995433333333333969e+09,-8.232999999999999829e+01
9.995450000000000000e+09,-9.332999999999999829e+01
9.995466666666666031e+09,-8.082999999999999829e+01
9.995483333333333969e+09,-9.732999999999999829e+01
9.995500000000000000e+09,-8.050000000000000000e+01
9.995516666666666031e+09,-9.315999999999999659e+01
9.995533333333333969e+09,-8.115999999999999659e+01
9.995550000000000000e+09,-9.482999999999999829e+01
9.995566666666666031e+09,-8.482999999999999829e+01
9.995583333333333969e+09,-9.615999999999999659e+01
9.995600000000000000e+09,-7.865999999999999659e+01
9.995616666666666031e+09,-9.715999999999999659e+01
9.995633333333333969e+09,-8.000000000000000000e+01
9.995650000000000000e+09,-9.550000000000000000e+01
9.995666666666666031e+09,-8.115999999999999659e+01
9.995683333333333969e+09,-9.150000000000000000e+01
9.995700000000000000e+09,-7.982999999999999829e+01
9.995716666666666031e+09,-9.682999999999999829e+01
9.995733333333333969e+09,-8.082999999999999829e+01
9.995750000000000000e+09,-9.600000000000000000e+01
9.995766666666666031e+09,-8.015999999999999659e+01
9.995783333333333969e+09,-9.782999999999999829e+01
9.995800000000000000e+09,-8.115999999999999659e+01
9.995816666666666031e+09,-8.250000000000000000e+01
9.995833333333333969e+09,-8.115999999999999659e+01
9.995850000000000000e+09,-9.715999999999999659e+01
9.995866666666666031e+09,-8.282999999999999829e+01
9.995883333333333969e+09,-9.382999999999999829e+01
9.995900000000000000e+09,-8.182999999999999829e+01
9.995916666666666031e+09,-9.532999999999999829e+01
9.995933333333333969e+09,-8.000000000000000000e+01
9.995950000000000000e+09,-9.715999999999999659e+01
9.995966666666666031e+09,-8.150000000000000000e+01
9.995983333333333969e+09,-8.965999999999999659e+01
9.996000000000000000e+09,-8.082999999999999829e+01
9.996016666666666031e+09,-9.800000000000000000e+01
9.996033333333333969e+09,-8.450000000000000000e+01
9.996050000000000000e+09,-9.615999999999999659e+01
9.996066666666666031e+09,-8.000000000000000000e+01
9.996083333333333969e+09,-9.250000000000000000e+01
9.996100000000000000e+09,-7.882999999999999829e+01
9.996116666666666031e+09,-9.600000000000000000e+01
9.996133333333333969e+09,-8.000000000000000000e+01
9.996150000000000000e+09,-9.482999999999999829e+01
9.996166666666666031e+09,-8.582999999999999829e+01
9.996183333333333969e+09,-9.732999999999999829e+01
9.996200000000000000e+09,-8.215999999999999659e+01
9.996216666666666031e+09,-8.815999999999999659e+01
9.996233333333333969e+09,-8.115999999999999659e+01
9.996250000000000000e+09,-9.150000000000000000e+01
9.996266666666666031e+09,-8.050000000000000000e+01
9.996283333333333969e+09,-9.215999999999999659e+01
9.996300000000000000e+09,-8.015999999999999659e+01
9.996316666666666031e+09,-9.315999999999999659e+01
9.996333333333333969e+09,-7.950000000000000000e+01
9.996350000000000000e+09,-9.550000000000000000e+01
9.996366666666666031e+09,-7.782999999999999829e+01
9.996383333333333969e+09,-9.232999999999999829e+01
9.996400000000000000e+09,-7.832999999999999829e+01
9.996416666666666031e+09,-9.682999999999999829e+01
9.996433333333333969e+09,-8.015999999999999659e+01
9.996450000000000000e+09,-9.415999999999999659e+01
9.996466666666666031e+09,-8.115999999999999659e+01
9.996483333333333969e+09,-9.715999999999999659e+01
9.996500000000000000e+09,-8.300000000000000000e+01
9.996516666666666031e+09,-9.150000000000000000e+01
9.996533333333333969e+09,-8.100000000000000000e+01
9.996550000000000000e+09,-9.200000000000000000e+01
9.996566666666666031e+09,-8.100000000000000000e+01
9.996583333333333969e+09,-9.582999999999999829e+01
9.996600000000000000e+09,-8.065999999999999659e+01
9.996616666666666031e+09,-9.532999999999999829e+01
9.996633333333333969e+09,-8.082999999999999829e+01
9.996650000000000000e+09,-9.382999999999999829e+01
9.996666666666666031e+09,-8.300000000000000000e+01
9.996683333333333969e+09,-9.700000000000000000e+01
9.996700000000000000e+09,-7.850000000000000000e+01
9.996716666666666031e+09,-9.515999999999999659e+01
9.996733333333333969e+09,-8.315999999999999659e+01
9.996750000000000000e+09,-9.265999999999999659e+01
9.996766666666666031e+09,-8.232999999999999829e+01
9.996783333333333969e+09,-9.400000000000000000e+01
9.996800000000000000e+09,-8.082999999999999829e+01
9.996816666666666031e+09,-9.532999999999999829e+01
9.996833333333333969e+09,-8.315999999999999659e+01
9.996850000000000000e+09,-9.132999999999999829e+01
9.996866666666666031e+09,-8.150000000000000000e+01
9.996883333333333969e+09,-9.532999999999999829e+01
9.996900000000000000e+09,-7.915999999999999659e+01
9.996916666666666031e+09,-9.382999999999999829e+01
9.996933333333333969e+09,-8.082999999999999829e+01
9.996950000000000000e+09,-9.632999999999999829e+01
9.996966666666666031e+09,-8.400000000000000000e+01
9.996983333333333969e+09,-9.515999999999999659e+01
9.997000000000000000e+09,-7.900000000000000000e+01
9.997016666666666031e+09,-9.415999999999999659e+01
9.997033333333333969e+09,-8.232999999999999829e+01
9.997050000000000000e+09,-9.350000000000000000e+01
9.997066666666666031e+09,-8.182999999999999829e+01
9.997083333333333969e+09,-9.765999999999999659e+01
9.997100000000000000e+09,-8.065999999999999659e+01
9.997116666666666031e+09,-9.382999999999999829e+01
9.997133333333333969e+09,-8.032999999999999829e+01
9.997150000000000000e+09,-9.532999999999999829e+01
9.997166666666666031e+09,-8.215999999999999659e+01
9.997183333333333969e+09,-9.650000000000000000e+01
9.997200000000000000e+09,-7.882999999999999829e+01
9.997216666666666031e+09,-9.765999999999999659e+01
9.997233333333333969e+09,-8.150000000000000000e+01
9.997250000000000000e+09,-9.550000000000000000e+01
9.997266666666666031e+09,-7.932999999999999829e+01
9.997283333333333969e+09,-9.415999999999999659e+01
9.997300000000000000e+09,-8.082999999999999829e+01
9.997316666666666031e+09,-9.500000000000000000e+01
9.997333333333333969e+09,-8.150000000000000000e+01
9.997350000000000000e+09,-9.632999999999999829e+01
9.997366666666666031e+09,-7.965999999999999659e+01
9.997383333333333969e+09,-9.465999999999999659e+01
9.997400000000000000e+09,-8.132999999999999829e+01
9.997416666666666031e+09,-9.065999999999999659e+01
9.997433333333333969e+09,-7.915999999999999659e+01
9.997450000000000000e+09,-8.982999999999999829e+01
9.997466666666666031e+09,-7.965999999999999659e+01
9.997483333333333969e+09,-9.750000000000000000e+01
9.997500000000000000e+09,-8.015999999999999659e+01
9.997516666666666031e+09,-9.682999999999999829e+01
9.997533333333333969e+09,-7.732999999999999829e+01
9.997550000000000000e+09,-9.665999999999999659e+01
