Date: 2026-04-28_18-13-17
Center Frequency (Hz): 10000000000.0
Span (Hz): 14500000000.0
RBW (Hz): 100000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
2.750000000000000000e+09,-7.815999999999999659e+01
2.774166666666666508e+09,-9.765999999999999659e+01
2.798333333333333492e+09,-7.700000000000000000e+01
2.822500000000000000e+09,-9.850000000000000000e+01
2.846666666666666508e+09,-7.700000000000000000e+01
2.870833333333333492e+09,-9.882999999999999829e+01
2.895000000000000000e+09,-7.715999999999999659e+01
2.919166666666666508e+09,-9.832999999999999829e+01
2.943333333333333492e+09,-7.550000000000000000e+01
2.967500000000000000e+09,-9.832999999999999829e+01
2.991666666666666508e+09,-7.682999999999999829e+01
3.015833333333333492e+09,-9.882999999999999829e+01
3.040000000000000000e+09,-7.732999999999999829e+01
3.064166666666666508e+09,-9.865999999999999659e+01
3.088333333333333492e+09,-7.650000000000000000e+01
3.112500000000000000e+09,-9.815999999999999659e+01
3.136666666666666508e+09,-7.665999999999999659e+01
3.160833333333333492e+09,-9.865999999999999659e+01
3.185000000000000000e+09,-7.665999999999999659e+01
3.209166666666666508e+09,-9.832999999999999829e+01
3.233333333333333492e+09,-7.715999999999999659e+01
3.257500000000000000e+09,-9.915999999999999659e+01
3.281666666666666508e+09,-7.650000000000000000e+01
3.305833333333333492e+09,-9.815999999999999659e+01
3.330000000000000000e+09,-7.682999999999999829e+01
3.354166666666666985e+09,-9.882999999999999829e+01
3.378333333333333492e+09,-7.700000000000000000e+01
3.402500000000000000e+09,-9.850000000000000000e+01
3.426666666666666985e+09,-7.750000000000000000e+01
3.450833333333333492e+09,-9.800000000000000000e+01
3.475000000000000000e+09,-7.715999999999999659e+01
3.499166666666666985e+09,-9.865999999999999659e+01
3.523333333333333492e+09,-7.582999999999999829e+01
3.547500000000000000e+09,-9.815999999999999659e+01
3.571666666666666985e+09,-7.700000000000000000e+01
3.595833333333333492e+09,-9.882999999999999829e+01
3.620000000000000000e+09,-7.682999999999999829e+01
3.644166666666666985e+09,-9.850000000000000000e+01
3.668333333333333492e+09,-7.750000000000000000e+01
3.692500000000000000e+09,-9.832999999999999829e+01
3.716666666666666985e+09,-7.732999999999999829e+01
3.740833333333333492e+09,-9.900000000000000000e+01
3.765000000000000000e+09,-7.750000000000000000e+01
3.789166666666666985e+09,-9.815999999999999659e+01
3.813333333333333492e+09,-7.650000000000000000e+01
3.837500000000000000e+09,-9.865999999999999659e+01
3.861666666666666985e+09,-7.500000000000000000e+01
3.885833333333333492e+09,-9.915999999999999659e+01
3.910000000000000000e+09,-7.665999999999999659e+01
3.934166666666666985e+09,-9.882999999999999829e+01
3.958333333333333492e+09,-7.715999999999999659e+01
3.982500000000000000e+09,-9.865999999999999659e+01
4.006666666666666985e+09,-7.750000000000000000e+01
4.030833333333333492e+09,-9.850000000000000000e+01
4.055000000000000000e+09,-7.732999999999999829e+01
4.079166666666666985e+09,-9.900000000000000000e+01
4.103333333333333492e+09,-7.732999999999999829e+01
4.127500000000000000e+09,-9.782999999999999829e+01
4.151666666666666985e+09,-7.800000000000000000e+01
4.175833333333333492e+09,-9.800000000000000000e+01
4.200000000000000000e+09,-7.650000000000000000e+01
4.224166666666666985e+09,-9.932999999999999829e+01
4.248333333333333492e+09,-7.715999999999999659e+01
4.272500000000000000e+09,-9.850000000000000000e+01
4.296666666666666985e+09,-7.700000000000000000e+01
4.320833333333333969e+09,-9.882999999999999829e+01
4.345000000000000000e+09,-7.750000000000000000e+01
4.369166666666666985e+09,-9.832999999999999829e+01
4.393333333333333969e+09,-7.750000000000000000e+01
4.417500000000000000e+09,-9.882999999999999829e+01
4.441666666666666985e+09,-7.732999999999999829e+01
4.465833333333333969e+09,-9.882999999999999829e+01
4.490000000000000000e+09,-7.750000000000000000e+01
4.514166666666666985e+09,-9.900000000000000000e+01
4.538333333333333969e+09,-7.700000000000000000e+01
4.562500000000000000e+09,-9.832999999999999829e+01
4.586666666666666985e+09,-7.765999999999999659e+01
4.610833333333333969e+09,-9.932999999999999829e+01
4.635000000000000000e+09,-7.700000000000000000e+01
4.659166666666666985e+09,-9.850000000000000000e+01
4.683333333333333969e+09,-7.750000000000000000e+01
4.707500000000000000e+09,-9.865999999999999659e+01
4.731666666666666985e+09,-7.750000000000000000e+01
4.755833333333333969e+09,-9.865999999999999659e+01
4.780000000000000000e+09,-7.600000000000000000e+01
4.804166666666666985e+09,-9.882999999999999829e+01
4.828333333333333969e+09,-7.850000000000000000e+01
4.852500000000000000e+09,-9.900000000000000000e+01
4.876666666666666985e+09,-7.750000000000000000e+01
4.900833333333333969e+09,-9.815999999999999659e+01
4.925000000000000000e+09,-7.765999999999999659e+01
4.949166666666666985e+09,-9.900000000000000000e+01
4.973333333333333969e+09,-7.782999999999999829e+01
4.997500000000000000e+09,-9.882999999999999829e+01
5.021666666666666985e+09,-7.815999999999999659e+01
5.045833333333333969e+09,-9.932999999999999829e+01
5.070000000000000000e+09,-7.765999999999999659e+01
5.094166666666666985e+09,-9.900000000000000000e+01
5.118333333333333969e+09,-7.850000000000000000e+01
5.142500000000000000e+09,-9.865999999999999659e+01
5.166666666666666985e+09,-7.765999999999999659e+01
5.190833333333333969e+09,-9.882999999999999829e+01
5.215000000000000000e+09,-7.715999999999999659e+01
5.239166666666666985e+09,-9.850000000000000000e+01
5.263333333333333969e+09,-7.715999999999999659e+01
5.287500000000000000e+09,-9.882999999999999829e+01
5.311666666666666985e+09,-7.732999999999999829e+01
5.335833333333333969e+09,-9.900000000000000000e+01
5.360000000000000000e+09,-7.815999999999999659e+01
5.384166666666666985e+09,-9.832999999999999829e+01
5.408333333333333969e+09,-7.815999999999999659e+01
5.432500000000000000e+09,-9.900000000000000000e+01
5.456666666666666985e+09,-7.832999999999999829e+01
5.480833333333333969e+09,-9.850000000000000000e+01
5.505000000000000000e+09,-7.782999999999999829e+01
5.529166666666666985e+09,-9.882999999999999829e+01
5.553333333333333969e+09,-7.800000000000000000e+01
5.577500000000000000e+09,-9.882999999999999829e+01
5.601666666666666985e+09,-7.682999999999999829e+01
5.625833333333333969e+09,-9.850000000000000000e+01
5.650000000000000000e+09,-7.700000000000000000e+01
5.674166666666666985e+09,-9.832999999999999829e+01
5.698333333333333969e+09,-7.665999999999999659e+01
5.722500000000000000e+09,-9.815999999999999659e+01
5.746666666666666985e+09,-7.765999999999999659e+01
5.770833333333333969e+09,-9.832999999999999829e+01
5.795000000000000000e+09,-7.815999999999999659e+01
5.819166666666666985e+09,-9.850000000000000000e+01
5.843333333333333969e+09,-7.732999999999999829e+01
5.867500000000000000e+09,-9.900000000000000000e+01
5.891666666666666985e+09,-7.750000000000000000e+01
5.915833333333333969e+09,-9.865999999999999659e+01
5.940000000000000000e+09,-7.732999999999999829e+01
5.964166666666666985e+09,-9.865999999999999659e+01
5.988333333333333969e+09,-7.782999999999999829e+01
6.012500000000000000e+09,-9.850000000000000000e+01
6.036666666666666985e+09,-7.750000000000000000e+01
6.060833333333333969e+09,-9.865999999999999659e+01
6.085000000000000000e+09,-7.750000000000000000e+01
6.109166666666666985e+09,-9.882999999999999829e+01
6.133333333333333969e+09,-7.700000000000000000e+01
6.157500000000000000e+09,-9.882999999999999829e+01
6.181666666666666985e+09,-7.682999999999999829e+01
6.205833333333333969e+09,-9.950000000000000000e+01
6.230000000000000000e+09,-7.665999999999999659e+01
6.254166666666666985e+09,-9.850000000000000000e+01
6.278333333333333969e+09,-7.715999999999999659e+01
6.302500000000000000e+09,-9.800000000000000000e+01
6.326666666666666985e+09,-7.715999999999999659e+01
6.350833333333333969e+09,-9.850000000000000000e+01
