Date: 2026-05-18_16-15-24
Center Frequency (Hz): 10000000000.0
Span (Hz): 4000000.0
RBW (Hz): 10000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
9.998000000000000000e+09,-8.082999999999999829e+01
9.998006666666666031e+09,-7.765999999999999659e+01
9.998013333333333969e+09,-8.000000000000000000e+01
9.998020000000000000e+09,-8.100000000000000000e+01
9.998026666666666031e+09,-8.100000000000000000e+01
9.998033333333333969e+09,-7.965999999999999659e+01
9.998040000000000000e+09,-8.032999999999999829e+01
9.998046666666666031e+09,-8.100000000000000000e+01
9.998053333333333969e+09,-8.100000000000000000e+01
9.998060000000000000e+09,-7.965999999999999659e+01
9.998066666666666031e+09,-8.050000000000000000e+01
9.998073333333333969e+09,-8.000000000000000000e+01
9.998080000000000000e+09,-8.015999999999999659e+01
9.998086666666666031e+09,-7.950000000000000000e+01
9.998093333333333969e+09,-8.100000000000000000e+01
9.998100000000000000e+09,-8.032999999999999829e+01
9.998106666666666031e+09,-7.915999999999999659e+01
9.998113333333333969e+09,-8.115999999999999659e+01
9.998120000000000000e+09,-7.982999999999999829e+01
9.998126666666666031e+09,-8.065999999999999659e+01
9.998133333333333969e+09,-7.965999999999999659e+01
9.998140000000000000e+09,-8.100000000000000000e+01
9.998146666666666031e+09,-8.015999999999999659e+01
9.998153333333333969e+09,-7.915999999999999659e+01
9.998160000000000000e+09,-8.065999999999999659e+01
9.998166666666666031e+09,-8.000000000000000000e+01
9.998173333333333969e+09,-8.082999999999999829e+01
9.998180000000000000e+09,-8.150000000000000000e+01
9.998186666666666031e+09,-8.015999999999999659e+01
9.998193333333333969e+09,-8.032999999999999829e+01
9.998200000000000000e+09,-7.965999999999999659e+01
9.998206666666666031e+09,-8.100000000000000000e+01
9.998213333333333969e+09,-8.015999999999999659e+01
9.998220000000000000e+09,-7.982999999999999829e+01
9.998226666666666031e+09,-8.032999999999999829e+01
9.998233333333333969e+09,-8.100000000000000000e+01
9.998240000000000000e+09,-8.050000000000000000e+01
9.998246666666666031e+09,-7.982999999999999829e+01
9.998253333333333969e+09,-7.850000000000000000e+01
9.998260000000000000e+09,-8.000000000000000000e+01
9.998266666666666031e+09,-8.065999999999999659e+01
9.998273333333333969e+09,-8.000000000000000000e+01
9.998280000000000000e+09,-7.965999999999999659e+01
9.998286666666666031e+09,-7.950000000000000000e+01
9.998293333333333969e+09,-7.982999999999999829e+01
9.998300000000000000e+09,-7.982999999999999829e+01
9.998306666666666031e+09,-8.000000000000000000e+01
9.998313333333333969e+09,-7.965999999999999659e+01
9.998320000000000000e+09,-7.815999999999999659e+01
9.998326666666666031e+09,-7.932999999999999829e+01
9.998333333333333969e+09,-7.932999999999999829e+01
9.998340000000000000e+09,-7.965999999999999659e+01
9.998346666666666031e+09,-7.900000000000000000e+01
9.998353333333333969e+09,-7.850000000000000000e+01
9.998360000000000000e+09,-8.032999999999999829e+01
9.998366666666666031e+09,-8.065999999999999659e+01
9.998373333333333969e+09,-8.000000000000000000e+01
9.998380000000000000e+09,-7.932999999999999829e+01
9.998386666666666031e+09,-7.932999999999999829e+01
9.998393333333333969e+09,-8.000000000000000000e+01
9.998400000000000000e+09,-7.732999999999999829e+01
9.998406666666666031e+09,-7.900000000000000000e+01
9.998413333333333969e+09,-7.950000000000000000e+01
9.998420000000000000e+09,-8.100000000000000000e+01
9.998426666666666031e+09,-7.950000000000000000e+01
9.998433333333333969e+09,-7.832999999999999829e+01
9.998440000000000000e+09,-7.915999999999999659e+01
9.998446666666666031e+09,-7.932999999999999829e+01
9.998453333333333969e+09,-7.900000000000000000e+01
9.998460000000000000e+09,-7.932999999999999829e+01
9.998466666666666031e+09,-8.032999999999999829e+01
9.998473333333333969e+09,-7.965999999999999659e+01
9.998480000000000000e+09,-7.950000000000000000e+01
9.998486666666666031e+09,-7.800000000000000000e+01
9.998493333333333969e+09,-7.932999999999999829e+01
9.998500000000000000e+09,-7.915999999999999659e+01
9.998506666666666031e+09,-7.882999999999999829e+01
9.998513333333333969e+09,-7.732999999999999829e+01
9.998520000000000000e+09,-7.850000000000000000e+01
9.998526666666666031e+09,-7.865999999999999659e+01
9.998533333333333969e+09,-7.815999999999999659e+01
9.998540000000000000e+09,-7.850000000000000000e+01
9.998546666666666031e+09,-7.832999999999999829e+01
9.998553333333333969e+09,-7.765999999999999659e+01
9.998560000000000000e+09,-7.750000000000000000e+01
9.998566666666666031e+09,-7.765999999999999659e+01
9.998573333333333969e+09,-7.782999999999999829e+01
9.998580000000000000e+09,-7.982999999999999829e+01
9.998586666666666031e+09,-7.700000000000000000e+01
9.998593333333333969e+09,-7.915999999999999659e+01
9.998600000000000000e+09,-7.832999999999999829e+01
9.998606666666666031e+09,-7.865999999999999659e+01
9.998613333333333969e+09,-7.732999999999999829e+01
9.998620000000000000e+09,-7.682999999999999829e+01
9.998626666666666031e+09,-7.765999999999999659e+01
9.998633333333333969e+09,-7.682999999999999829e+01
9.998640000000000000e+09,-7.932999999999999829e+01
9.998646666666666031e+09,-7.815999999999999659e+01
