Date: 2026-05-18_16-33-44
Center Frequency (Hz): 10000000000.0
Span (Hz): 1000000.0
RBW (Hz): 10000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
9.999500000000000000e+09,-6.032999999999999829e+01
9.999501666666666031e+09,-6.832999999999999829e+01
9.999503333333333969e+09,-5.915999999999999659e+01
9.999505000000000000e+09,-5.932999999999999829e+01
9.999506666666666031e+09,-5.650000000000000000e+01
9.999508333333333969e+09,-5.550000000000000000e+01
9.999510000000000000e+09,-5.615999999999999659e+01
9.999511666666666031e+09,-5.682999999999999829e+01
9.999513333333333969e+09,-5.565999999999999659e+01
9.999515000000000000e+09,-5.465999999999999659e+01
9.999516666666666031e+09,-5.600000000000000000e+01
9.999518333333333969e+09,-6.650000000000000000e+01
9.999520000000000000e+09,-5.932999999999999829e+01
9.999521666666666031e+09,-6.950000000000000000e+01
9.999523333333333969e+09,-5.632999999999999829e+01
9.999525000000000000e+09,-5.600000000000000000e+01
9.999526666666666031e+09,-5.665999999999999659e+01
9.999528333333333969e+09,-6.800000000000000000e+01
9.999530000000000000e+09,-5.600000000000000000e+01
9.999531666666666031e+09,-5.565999999999999659e+01
9.999533333333333969e+09,-5.665999999999999659e+01
9.999535000000000000e+09,-6.682999999999999829e+01
9.999536666666666031e+09,-6.015999999999999659e+01
9.999538333333333969e+09,-6.965999999999999659e+01
9.999540000000000000e+09,-5.715999999999999659e+01
9.999541666666666031e+09,-5.532999999999999829e+01
9.999543333333333969e+09,-5.532999999999999829e+01
9.999545000000000000e+09,-7.282999999999999829e+01
9.999546666666666031e+09,-5.565999999999999659e+01
9.999548333333333969e+09,-5.515999999999999659e+01
9.999550000000000000e+09,-5.732999999999999829e+01
9.999551666666666031e+09,-7.115999999999999659e+01
9.999553333333333969e+09,-5.682999999999999829e+01
9.999555000000000000e+09,-6.565999999999999659e+01
9.999556666666666031e+09,-5.700000000000000000e+01
9.999558333333333969e+09,-5.782999999999999829e+01
9.999560000000000000e+09,-5.732999999999999829e+01
9.999561666666666031e+09,-5.665999999999999659e+01
9.999563333333333969e+09,-5.765999999999999659e+01
9.999565000000000000e+09,-6.332999999999999829e+01
9.999566666666666031e+09,-5.750000000000000000e+01
9.999568333333333969e+09,-7.065999999999999659e+01
9.999570000000000000e+09,-5.665999999999999659e+01
9.999571666666666031e+09,-5.265999999999999659e+01
9.999573333333333969e+09,-5.250000000000000000e+01
9.999575000000000000e+09,-6.400000000000000000e+01
9.999576666666666031e+09,-5.515999999999999659e+01
9.999578333333333969e+09,-6.100000000000000000e+01
9.999580000000000000e+09,-5.432999999999999829e+01
9.999581666666666031e+09,-6.582999999999999829e+01
9.999583333333333969e+09,-5.615999999999999659e+01
9.999585000000000000e+09,-5.815999999999999659e+01
