Date: 2026-05-18_16-47-48
Center Frequency (Hz): 2400000000.0
Span (Hz): 1000000.0
RBW (Hz): 10000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
2.399500000000000000e+09,-8.865999999999999659e+01
2.399501666666666508e+09,-9.565999999999999659e+01
2.399503333333333492e+09,-8.465999999999999659e+01
2.399505000000000000e+09,-9.232999999999999829e+01
2.399506666666666508e+09,-8.615999999999999659e+01
2.399508333333333492e+09,-9.300000000000000000e+01
2.399510000000000000e+09,-8.615999999999999659e+01
2.399511666666666508e+09,-9.632999999999999829e+01
2.399513333333333492e+09,-8.882999999999999829e+01
2.399515000000000000e+09,-9.400000000000000000e+01
2.399516666666666508e+09,-8.565999999999999659e+01
2.399518333333333492e+09,-9.382999999999999829e+01
2.399520000000000000e+09,-9.015999999999999659e+01
2.399521666666666508e+09,-9.332999999999999829e+01
2.399523333333333492e+09,-8.782999999999999829e+01
2.399525000000000000e+09,-9.500000000000000000e+01
2.399526666666666508e+09,-8.865999999999999659e+01
2.399528333333333492e+09,-9.465999999999999659e+01
2.399530000000000000e+09,-8.600000000000000000e+01
2.399531666666666508e+09,-9.432999999999999829e+01
2.399533333333333492e+09,-8.900000000000000000e+01
2.399535000000000000e+09,-9.515999999999999659e+01
2.399536666666666508e+09,-8.982999999999999829e+01
2.399538333333333492e+09,-9.465999999999999659e+01
2.399540000000000000e+09,-8.932999999999999829e+01
2.399541666666666508e+09,-9.450000000000000000e+01
2.399543333333333492e+09,-8.800000000000000000e+01
2.399545000000000000e+09,-8.665999999999999659e+01
2.399546666666666508e+09,-8.932999999999999829e+01
2.399548333333333492e+09,-9.532999999999999829e+01
2.399550000000000000e+09,-8.965999999999999659e+01
2.399551666666666508e+09,-8.832999999999999829e+01
2.399553333333333492e+09,-8.782999999999999829e+01
2.399555000000000000e+09,-9.482999999999999829e+01
2.399556666666666508e+09,-8.450000000000000000e+01
2.399558333333333492e+09,-9.482999999999999829e+01
2.399560000000000000e+09,-8.565999999999999659e+01
2.399561666666666508e+09,-9.465999999999999659e+01
2.399563333333333492e+09,-8.732999999999999829e+01
2.399565000000000000e+09,-8.650000000000000000e+01
2.399566666666666508e+09,-8.665999999999999659e+01
2.399568333333333492e+09,-9.265999999999999659e+01
2.399570000000000000e+09,-8.632999999999999829e+01
2.399571666666666508e+09,-9.600000000000000000e+01
2.399573333333333492e+09,-8.632999999999999829e+01
2.399575000000000000e+09,-9.500000000000000000e+01
2.399576666666666508e+09,-8.700000000000000000e+01
2.399578333333333492e+09,-9.382999999999999829e+01
2.399580000000000000e+09,-8.750000000000000000e+01
2.399581666666666508e+09,-9.400000000000000000e+01
2.399583333333333492e+09,-8.982999999999999829e+01
2.399585000000000000e+09,-9.565999999999999659e+01
2.399586666666666508e+09,-8.900000000000000000e+01
2.399588333333333492e+09,-8.832999999999999829e+01
2.399590000000000000e+09,-9.050000000000000000e+01
