Date: 2026-05-18_17-28-30
Center Frequency (Hz): 10000000000.0
Span (Hz): 1000000.0
RBW (Hz): 10000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
9.999500000000000000e+09,-8.415999999999999659e+01
9.999501666666666031e+09,-9.400000000000000000e+01
9.999503333333333969e+09,-8.632999999999999829e+01
9.999505000000000000e+09,-9.282999999999999829e+01
9.999506666666666031e+09,-8.315999999999999659e+01
9.999508333333333969e+09,-9.050000000000000000e+01
9.999510000000000000e+09,-8.650000000000000000e+01
9.999511666666666031e+09,-9.282999999999999829e+01
9.999513333333333969e+09,-8.365999999999999659e+01
9.999515000000000000e+09,-9.365999999999999659e+01
9.999516666666666031e+09,-8.550000000000000000e+01
9.999518333333333969e+09,-9.415999999999999659e+01
9.999520000000000000e+09,-8.782999999999999829e+01
9.999521666666666031e+09,-9.482999999999999829e+01
9.999523333333333969e+09,-8.482999999999999829e+01
9.999525000000000000e+09,-9.300000000000000000e+01
9.999526666666666031e+09,-8.500000000000000000e+01
9.999528333333333969e+09,-9.550000000000000000e+01
9.999530000000000000e+09,-8.515999999999999659e+01
9.999531666666666031e+09,-9.250000000000000000e+01
9.999533333333333969e+09,-8.215999999999999659e+01
9.999535000000000000e+09,-9.000000000000000000e+01
9.999536666666666031e+09,-8.582999999999999829e+01
9.999538333333333969e+09,-9.132999999999999829e+01
9.999540000000000000e+09,-8.532999999999999829e+01
9.999541666666666031e+09,-8.450000000000000000e+01
9.999543333333333969e+09,-8.550000000000000000e+01
9.999545000000000000e+09,-9.382999999999999829e+01
9.999546666666666031e+09,-8.632999999999999829e+01
9.999548333333333969e+09,-9.382999999999999829e+01
9.999550000000000000e+09,-8.282999999999999829e+01
9.999551666666666031e+09,-9.515999999999999659e+01
9.999553333333333969e+09,-8.532999999999999829e+01
9.999555000000000000e+09,-9.150000000000000000e+01
9.999556666666666031e+09,-8.665999999999999659e+01
9.999558333333333969e+09,-8.415999999999999659e+01
9.999560000000000000e+09,-8.482999999999999829e+01
9.999561666666666031e+09,-9.265999999999999659e+01
9.999563333333333969e+09,-8.650000000000000000e+01
9.999565000000000000e+09,-9.532999999999999829e+01
9.999566666666666031e+09,-9.015999999999999659e+01
9.999568333333333969e+09,-9.265999999999999659e+01
9.999570000000000000e+09,-8.632999999999999829e+01
9.999571666666666031e+09,-8.115999999999999659e+01
9.999573333333333969e+09,-8.150000000000000000e+01
9.999575000000000000e+09,-9.315999999999999659e+01
9.999576666666666031e+09,-8.715999999999999659e+01
9.999578333333333969e+09,-9.550000000000000000e+01
9.999580000000000000e+09,-9.050000000000000000e+01
9.999581666666666031e+09,-9.415999999999999659e+01
9.999583333333333969e+09,-9.050000000000000000e+01
9.999585000000000000e+09,-8.865999999999999659e+01
9.999586666666666031e+09,-8.615999999999999659e+01
9.999588333333333969e+09,-9.432999999999999829e+01
9.999590000000000000e+09,-8.515999999999999659e+01
9.999591666666666031e+09,-8.550000000000000000e+01
9.999593333333333969e+09,-8.900000000000000000e+01
9.999595000000000000e+09,-9.482999999999999829e+01
9.999596666666666031e+09,-8.632999999999999829e+01
9.999598333333333969e+09,-9.165999999999999659e+01
9.999600000000000000e+09,-8.300000000000000000e+01
9.999601666666666031e+09,-9.282999999999999829e+01
9.999603333333333969e+09,-8.682999999999999829e+01
9.999605000000000000e+09,-9.450000000000000000e+01
9.999606666666666031e+09,-8.550000000000000000e+01
9.999608333333333969e+09,-9.132999999999999829e+01
9.999610000000000000e+09,-8.250000000000000000e+01
9.999611666666666031e+09,-9.450000000000000000e+01
9.999613333333333969e+09,-8.765999999999999659e+01
9.999615000000000000e+09,-9.432999999999999829e+01
9.999616666666666031e+09,-8.650000000000000000e+01
9.999618333333333969e+09,-8.315999999999999659e+01
9.999620000000000000e+09,-8.415999999999999659e+01
9.999621666666666031e+09,-9.282999999999999829e+01
9.999623333333333969e+09,-8.515999999999999659e+01
9.999625000000000000e+09,-9.315999999999999659e+01
9.999626666666666031e+09,-8.732999999999999829e+01
9.999628333333333969e+09,-9.465999999999999659e+01
9.999630000000000000e+09,-8.582999999999999829e+01
9.999631666666666031e+09,-9.482999999999999829e+01
9.999633333333333969e+09,-8.882999999999999829e+01
9.999635000000000000e+09,-9.365999999999999659e+01
9.999636666666666031e+09,-8.465999999999999659e+01
9.999638333333333969e+09,-9.082999999999999829e+01
9.999640000000000000e+09,-8.400000000000000000e+01
9.999641666666666031e+09,-9.482999999999999829e+01
9.999643333333333969e+09,-8.682999999999999829e+01
9.999645000000000000e+09,-9.482999999999999829e+01
9.999646666666666031e+09,-8.432999999999999829e+01
9.999648333333333969e+09,-9.415999999999999659e+01
9.999650000000000000e+09,-8.565999999999999659e+01
9.999651666666666031e+09,-9.565999999999999659e+01
9.999653333333333969e+09,-8.515999999999999659e+01
9.999655000000000000e+09,-9.515999999999999659e+01
9.999656666666666031e+09,-8.482999999999999829e+01
9.999658333333333969e+09,-9.265999999999999659e+01
9.999660000000000000e+09,-8.550000000000000000e+01
9.999661666666666031e+09,-9.482999999999999829e+01
9.999663333333333969e+09,-8.450000000000000000e+01
9.999665000000000000e+09,-9.400000000000000000e+01
9.999666666666666031e+09,-8.700000000000000000e+01
9.999668333333333969e+09,-9.165999999999999659e+01
9.999670000000000000e+09,-8.650000000000000000e+01
9.999671666666666031e+09,-9.282999999999999829e+01
9.999673333333333969e+09,-8.515999999999999659e+01
9.999675000000000000e+09,-9.315999999999999659e+01
9.999676666666666031e+09,-8.550000000000000000e+01
9.999678333333333969e+09,-9.165999999999999659e+01
9.999680000000000000e+09,-8.582999999999999829e+01
9.999681666666666031e+09,-8.850000000000000000e+01
9.999683333333333969e+09,-8.300000000000000000e+01
9.999685000000000000e+09,-9.382999999999999829e+01
9.999686666666666031e+09,-8.815999999999999659e+01
9.999688333333333969e+09,-9.515999999999999659e+01
9.999690000000000000e+09,-8.865999999999999659e+01
9.999691666666666031e+09,-9.382999999999999829e+01
9.999693333333333969e+09,-8.800000000000000000e+01
9.999695000000000000e+09,-9.282999999999999829e+01
9.999696666666666031e+09,-8.565999999999999659e+01
9.999698333333333969e+09,-9.450000000000000000e+01
9.999700000000000000e+09,-8.350000000000000000e+01
9.999701666666666031e+09,-9.282999999999999829e+01
9.999703333333333969e+09,-8.532999999999999829e+01
9.999705000000000000e+09,-9.132999999999999829e+01
9.999706666666666031e+09,-8.482999999999999829e+01
9.999708333333333969e+09,-9.550000000000000000e+01
9.999710000000000000e+09,-8.915999999999999659e+01
9.999711666666666031e+09,-9.365999999999999659e+01
9.999713333333333969e+09,-8.632999999999999829e+01
9.999715000000000000e+09,-9.432999999999999829e+01
9.999716666666666031e+09,-8.665999999999999659e+01
9.999718333333333969e+09,-9.215999999999999659e+01
9.999720000000000000e+09,-8.382999999999999829e+01
9.999721666666666031e+09,-9.332999999999999829e+01
9.999723333333333969e+09,-8.932999999999999829e+01
9.999725000000000000e+09,-9.532999999999999829e+01
9.999726666666666031e+09,-8.900000000000000000e+01
9.999728333333333969e+09,-9.182999999999999829e+01
9.999730000000000000e+09,-8.382999999999999829e+01
9.999731666666666031e+09,-9.065999999999999659e+01
9.999733333333333969e+09,-8.432999999999999829e+01
9.999735000000000000e+09,-9.100000000000000000e+01
9.999736666666666031e+09,-8.332999999999999829e+01
9.999738333333333969e+09,-9.432999999999999829e+01
9.999740000000000000e+09,-8.500000000000000000e+01
9.999741666666666031e+09,-9.532999999999999829e+01
9.999743333333333969e+09,-8.400000000000000000e+01
9.999745000000000000e+09,-9.432999999999999829e+01
9.999746666666666031e+09,-8.465999999999999659e+01
9.999748333333333969e+09,-9.050000000000000000e+01
9.999750000000000000e+09,-8.515999999999999659e+01
9.999751666666666031e+09,-9.582999999999999829e+01
9.999753333333333969e+09,-8.432999999999999829e+01
9.999755000000000000e+09,-9.365999999999999659e+01
9.999756666666666031e+09,-8.532999999999999829e+01
9.999758333333333969e+09,-9.050000000000000000e+01
9.999760000000000000e+09,-8.650000000000000000e+01
9.999761666666666031e+09,-9.265999999999999659e+01
9.999763333333333969e+09,-8.715999999999999659e+01
9.999765000000000000e+09,-9.182999999999999829e+01
9.999766666666666031e+09,-8.315999999999999659e+01
9.999768333333333969e+09,-9.165999999999999659e+01
9.999770000000000000e+09,-8.615999999999999659e+01
9.999771666666666031e+09,-9.150000000000000000e+01
9.999773333333333969e+09,-8.500000000000000000e+01
9.999775000000000000e+09,-9.482999999999999829e+01
9.999776666666666031e+09,-8.782999999999999829e+01
9.999778333333333969e+09,-9.015999999999999659e+01
9.999780000000000000e+09,-8.350000000000000000e+01
9.999781666666666031e+09,-8.700000000000000000e+01
9.999783333333333969e+09,-8.365999999999999659e+01
9.999785000000000000e+09,-9.182999999999999829e+01
9.999786666666666031e+09,-8.350000000000000000e+01
9.999788333333333969e+09,-9.332999999999999829e+01
9.999790000000000000e+09,-8.682999999999999829e+01
9.999791666666666031e+09,-8.082999999999999829e+01
9.999793333333333969e+09,-8.300000000000000000e+01
9.999795000000000000e+09,-9.415999999999999659e+01
9.999796666666666031e+09,-8.915999999999999659e+01
9.999798333333333969e+09,-9.415999999999999659e+01
9.999800000000000000e+09,-8.750000000000000000e+01
9.999801666666666031e+09,-9.382999999999999829e+01
9.999803333333333969e+09,-8.515999999999999659e+01
9.999805000000000000e+09,-8.732999999999999829e+01
9.999806666666666031e+09,-8.732999999999999829e+01
9.999808333333333969e+09,-9.365999999999999659e+01
9.999810000000000000e+09,-8.532999999999999829e+01
9.999811666666666031e+09,-9.300000000000000000e+01
9.999813333333333969e+09,-8.250000000000000000e+01
9.999815000000000000e+09,-8.900000000000000000e+01
9.999816666666666031e+09,-8.432999999999999829e+01
9.999818333333333969e+09,-8.982999999999999829e+01
9.999820000000000000e+09,-8.250000000000000000e+01
9.999821666666666031e+09,-9.115999999999999659e+01
9.999823333333333969e+09,-8.282999999999999829e+01
9.999825000000000000e+09,-8.415999999999999659e+01
9.999826666666666031e+09,-8.282999999999999829e+01
9.999828333333333969e+09,-9.465999999999999659e+01
9.999830000000000000e+09,-8.232999999999999829e+01
9.999831666666666031e+09,-9.265999999999999659e+01
9.999833333333333969e+09,-8.482999999999999829e+01
9.999835000000000000e+09,-8.250000000000000000e+01
9.999836666666666031e+09,-8.582999999999999829e+01
9.999838333333333969e+09,-8.832999999999999829e+01
9.999840000000000000e+09,-8.350000000000000000e+01
9.999841666666666031e+09,-8.282999999999999829e+01
9.999843333333333969e+09,-8.782999999999999829e+01
9.999845000000000000e+09,-8.450000000000000000e+01
9.999846666666666031e+09,-8.632999999999999829e+01
9.999848333333333969e+09,-9.182999999999999829e+01
9.999850000000000000e+09,-8.350000000000000000e+01
9.999851666666666031e+09,-9.032999999999999829e+01
9.999853333333333969e+09,-8.532999999999999829e+01
9.999855000000000000e+09,-9.365999999999999659e+01
9.999856666666666031e+09,-8.515999999999999659e+01
9.999858333333333969e+09,-9.415999999999999659e+01
9.999860000000000000e+09,-8.665999999999999659e+01
9.999861666666666031e+09,-9.482999999999999829e+01
9.999863333333333969e+09,-8.400000000000000000e+01
9.999865000000000000e+09,-9.265999999999999659e+01
9.999866666666666031e+09,-8.400000000000000000e+01
9.999868333333333969e+09,-9.182999999999999829e+01
9.999870000000000000e+09,-8.550000000000000000e+01
9.999871666666666031e+09,-9.215999999999999659e+01
9.999873333333333969e+09,-8.365999999999999659e+01
9.999875000000000000e+09,-9.132999999999999829e+01
9.999876666666666031e+09,-8.382999999999999829e+01
9.999878333333333969e+09,-9.100000000000000000e+01
9.999880000000000000e+09,-8.082999999999999829e+01
9.999881666666666031e+09,-9.150000000000000000e+01
9.999883333333333969e+09,-8.550000000000000000e+01
9.999885000000000000e+09,-8.950000000000000000e+01
9.999886666666666031e+09,-8.615999999999999659e+01
9.999888333333333969e+09,-9.032999999999999829e+01
9.999890000000000000e+09,-8.165999999999999659e+01
9.999891666666666031e+09,-9.415999999999999659e+01
9.999893333333333969e+09,-8.315999999999999659e+01
9.999895000000000000e+09,-9.350000000000000000e+01
9.999896666666666031e+09,-8.732999999999999829e+01
9.999898333333333969e+09,-9.415999999999999659e+01
