Date: 2026-05-18_17-30-45
Center Frequency (Hz): 10000000000.0
Span (Hz): 6000000000.0
RBW (Hz): 100000.0
ID: 8562A GPIB0::18::INSTR
Frequency (Hz),Power (dBm)
7.000000000000000000e+09,-7.165999999999999659e+01
7.010000000000000000e+09,-9.550000000000000000e+01
7.020000000000000000e+09,-7.115999999999999659e+01
7.030000000000000000e+09,-9.582999999999999829e+01
7.040000000000000000e+09,-7.150000000000000000e+01
7.050000000000000000e+09,-9.650000000000000000e+01
7.060000000000000000e+09,-7.050000000000000000e+01
7.070000000000000000e+09,-9.650000000000000000e+01
7.080000000000000000e+09,-7.165999999999999659e+01
7.090000000000000000e+09,-9.565999999999999659e+01
7.100000000000000000e+09,-7.065999999999999659e+01
7.110000000000000000e+09,-9.482999999999999829e+01
7.120000000000000000e+09,-7.115999999999999659e+01
7.130000000000000000e+09,-9.665999999999999659e+01
7.140000000000000000e+09,-7.200000000000000000e+01
7.150000000000000000e+09,-9.682999999999999829e+01
7.160000000000000000e+09,-7.100000000000000000e+01
7.170000000000000000e+09,-9.515999999999999659e+01
7.180000000000000000e+09,-7.100000000000000000e+01
7.190000000000000000e+09,-9.582999999999999829e+01
7.200000000000000000e+09,-7.200000000000000000e+01
7.210000000000000000e+09,-9.532999999999999829e+01
7.220000000000000000e+09,-6.982999999999999829e+01
7.230000000000000000e+09,-9.650000000000000000e+01
7.240000000000000000e+09,-7.015999999999999659e+01
7.250000000000000000e+09,-9.400000000000000000e+01
7.260000000000000000e+09,-7.182999999999999829e+01
7.270000000000000000e+09,-9.482999999999999829e+01
7.280000000000000000e+09,-7.065999999999999659e+01
7.290000000000000000e+09,-9.665999999999999659e+01
7.300000000000000000e+09,-7.165999999999999659e+01
7.310000000000000000e+09,-9.632999999999999829e+01
7.320000000000000000e+09,-7.100000000000000000e+01
7.330000000000000000e+09,-9.632999999999999829e+01
7.340000000000000000e+09,-7.132999999999999829e+01
7.350000000000000000e+09,-9.465999999999999659e+01
7.360000000000000000e+09,-7.132999999999999829e+01
7.370000000000000000e+09,-9.750000000000000000e+01
7.380000000000000000e+09,-7.015999999999999659e+01
7.390000000000000000e+09,-9.665999999999999659e+01
7.400000000000000000e+09,-7.100000000000000000e+01
7.410000000000000000e+09,-9.500000000000000000e+01
7.420000000000000000e+09,-7.150000000000000000e+01
7.430000000000000000e+09,-9.615999999999999659e+01
7.440000000000000000e+09,-7.232999999999999829e+01
7.450000000000000000e+09,-9.632999999999999829e+01
7.460000000000000000e+09,-7.065999999999999659e+01
7.470000000000000000e+09,-9.515999999999999659e+01
7.480000000000000000e+09,-7.050000000000000000e+01
7.490000000000000000e+09,-9.515999999999999659e+01
7.500000000000000000e+09,-7.015999999999999659e+01
7.510000000000000000e+09,-9.715999999999999659e+01
7.520000000000000000e+09,-7.132999999999999829e+01
7.530000000000000000e+09,-9.632999999999999829e+01
7.540000000000000000e+09,-7.015999999999999659e+01
7.550000000000000000e+09,-9.650000000000000000e+01
