Date: 2026-04-05
IFBW: 3.000000000000000E+03
GPIB: GPIB0::16::INSTR
Start_Hz: 130000000.0
Stop_Hz: 20000000000.0
Points: 201
Columns:
Freq_Hz, S11_Re, S11_Im, S21_Re, S21_Im, S12_Re, S12_Im, S22_Re, S22_Im
1.300000000000000000e+08,1.344204000000000102e-03,3.443956000000000187e-03,-8.948897999999999575e-02,-1.623917000000000069e-02,-7.220458999999999905e-02,-4.868316999999999783e-02,-8.461474999999999552e-04,1.627385999999999980e-03
2.293500000000000000e+08,-4.806518999999999982e-04,4.375218999999999636e-03,1.506348000000000131e-01,3.633879999999999749e-02,1.172866999999999937e-01,8.922576999999999592e-02,-5.054474000000000017e-05,5.199432000000000359e-03
3.287000000000000000e+08,-3.737449999999999800e-03,4.874945000000000320e-03,-2.083281999999999912e-01,-5.743407999999999847e-02,-1.623305999999999916e-01,-1.278838999999999948e-01,-7.448673000000000273e-03,5.620003000000000151e-03
4.280500000000000000e+08,-5.979538000000000388e-03,1.118421999999999993e-02,2.570038000000000045e-01,8.711240000000000649e-02,1.946792999999999996e-01,1.693419999999999925e-01,-1.482009999999999968e-03,1.491451000000000061e-02
5.274000000000000000e+08,-6.457329000000000367e-03,1.740931999999999896e-02,-2.904967999999999995e-01,-1.204223999999999989e-01,-2.108307000000000098e-01,-2.154845999999999984e-01,-1.765059999999999893e-02,1.486397000000000065e-02
6.267500000000000000e+08,-3.292273999999999895e-02,2.551269999999999927e-02,3.207397000000000165e-01,1.682280999999999915e-01,2.234497000000000011e-01,2.619476000000000027e-01,-1.598930000000000143e-02,3.688430999999999654e-02
7.261000000000000000e+08,-1.990986000000000145e-02,1.959514999999999868e-02,-3.422546000000000199e-01,-2.072601000000000027e-01,-2.268828999999999985e-01,-3.042602999999999835e-01,-1.790904999999999928e-02,1.820563999999999863e-02
8.254500000000000000e+08,-1.551914000000000071e-02,2.254772000000000026e-02,3.470153999999999739e-01,2.514038000000000106e-01,2.197875999999999996e-01,3.489532000000000189e-01,-1.752089999999999897e-02,2.618217000000000114e-02
9.248000000000000000e+08,-2.453612999999999975e-02,2.675724000000000158e-02,-3.462982000000000005e-01,-3.029632999999999909e-01,-2.037963999999999887e-01,-3.897399999999999753e-01,-3.341675000000000201e-02,1.870727999999999974e-02
1.024150000000000000e+09,-1.210022000000000007e-02,5.812644999999999965e-03,3.334350999999999843e-01,3.538971000000000200e-01,1.766051999999999900e-01,4.291076999999999808e-01,-6.844521000000000112e-03,2.100182000000000090e-02
1.123500000000000000e+09,-1.415825000000000070e-02,8.237839000000000272e-03,-3.089600000000000124e-01,-4.006957999999999909e-01,-1.409912000000000110e-01,-4.575500000000000123e-01,-2.618790000000000180e-03,2.697563000000000044e-02
1.222850000000000000e+09,1.274823999999999923e-02,1.165627999999999977e-02,2.719574000000000158e-01,4.396514999999999729e-01,9.930419999999999525e-02,4.887084999999999901e-01,1.673221999999999904e-02,-1.087188999999999907e-03
1.322200000000000000e+09,1.197528999999999955e-02,6.956099999999999783e-03,-2.267151000000000027e-01,-4.873352000000000239e-01,-5.075073000000000084e-02,-5.144347999999999699e-01,2.511978000000000127e-02,4.578589999999999570e-03
1.421550000000000000e+09,6.539535999999999960e-02,2.079773000000000038e-02,1.799927000000000055e-01,5.150451999999999808e-01,-8.331299000000000343e-03,5.130614999999999482e-01,6.224442000000000169e-02,-7.263183999999999786e-03
1.520900000000000000e+09,6.335448999999999942e-02,2.428055000000000144e-02,-1.097411999999999971e-01,-5.362244000000000455e-01,8.181760000000000421e-02,-5.255127000000000548e-01,6.744384999999999963e-02,-1.000976999999999943e-02
1.620250000000000000e+09,7.580947999999999853e-02,6.126399999999999728e-03,4.342649999999999982e-02,5.603943000000000119e-01,-1.395263999999999949e-01,5.257262999999999797e-01,7.328795999999999922e-02,2.458954000000000001e-02
1.719600000000000000e+09,7.910918999999999590e-02,2.669525000000000023e-02,1.983640000000000056e-02,-5.733947999999999823e-01,1.981506000000000101e-01,-5.138549999999999507e-01,8.206177000000000610e-02,1.440811000000000001e-02
1.818950000000000000e+09,7.433318999999999344e-02,1.789092999999999933e-02,-8.288573999999999942e-02,5.755310000000000148e-01,-2.553405999999999731e-01,4.932861000000000051e-01,8.008194000000000423e-02,4.889679000000000247e-02
1.918300000000000000e+09,8.736038000000000137e-02,4.043578999999999923e-02,1.585082999999999909e-01,-5.526427999999999896e-01,3.229369999999999741e-01,-4.491881999999999819e-01,1.036910999999999944e-01,3.614425999999999750e-02
2.017650000000000000e+09,5.792618000000000072e-02,5.609130999999999839e-02,-2.366942999999999964e-01,5.388488999999999640e-01,-3.807525999999999966e-01,4.202118000000000242e-01,8.997344999999999648e-02,2.712631000000000070e-02
2.117000000000000000e+09,5.770110999999999990e-02,6.997298999999999880e-02,2.988585999999999743e-01,-5.104674999999999629e-01,4.284362999999999921e-01,-3.725891000000000064e-01,8.098602000000000578e-02,3.698730000000000073e-02
2.216350000000000000e+09,5.567740999999999663e-02,5.124664000000000302e-02,-3.589477999999999835e-01,4.812927000000000177e-01,-4.743346999999999980e-01,3.291320999999999830e-01,7.617949999999999722e-02,2.058791999999999914e-02
2.315700000000000000e+09,2.763938999999999979e-02,5.363082999999999739e-02,4.231262000000000079e-01,-4.231872999999999885e-01,5.159302000000000055e-01,-2.645263999999999949e-01,5.485725000000000323e-02,3.754234000000000043e-02
