CalKitAttenuator_2X10dBDate: 2026-04-17
CalKitAttenuator_2X10dBIFBW: 3.000000000000000E+03
CalKitAttenuator_2X10dBGPIB: GPIB0::16::INSTR
CalKitAttenuator_2X10dBStart_Hz: 130000000.0
CalKitAttenuator_2X10dBStop_Hz: 15000000000.0
CalKitAttenuator_2X10dBPoints: 201
CalKitAttenuator_2X10dBColumns:
CalKitAttenuator_2X10dBFreq_Hz, S11_Re, S11_Im, S21_Re, S21_Im, S12_Re, S12_Im, S22_Re, S22_Im
1.300000000000000000e+08,-9.558410999999999991e-01,2.217712000000000017e-01,-2.676129000000000181e-03,1.814723000000000074e-03,-6.978512000000000083e-03,-3.496169999999999833e-03,-8.535156000000000409e-01,3.411560000000000148e-01
2.043500000000000000e+08,-9.210814999999999975e-01,3.326415999999999817e-01,-3.640652000000000189e-04,-3.164768000000000095e-03,-1.609325000000000046e-05,-8.201003000000000329e-04,-8.018188000000000537e-01,5.430907999999999847e-01
2.787000000000000000e+08,-8.754271999999999609e-01,4.486693999999999960e-01,6.330490000000000249e-03,-5.083083999999999866e-04,8.773799999999999785e-04,-2.475976999999999865e-03,-6.738891999999999660e-01,6.853027000000000424e-01
3.530500000000000000e+08,-8.031616000000000311e-01,5.642089999999999606e-01,1.153766999999999987e-03,-1.124739999999999941e-03,-2.001165999999999969e-03,1.725673999999999958e-03,-4.883118000000000181e-01,8.265685999999999867e-01
4.274000000000000000e+08,-7.242737000000000203e-01,6.719971000000000139e-01,-1.467049000000000001e-03,8.930563999999999560e-04,-1.271486000000000057e-03,2.179741999999999975e-04,-2.891234999999999777e-01,9.228821000000000385e-01
5.017500000000000000e+08,-6.234131000000000533e-01,7.692871000000000015e-01,1.863837000000000024e-04,-4.792064000000000067e-04,-7.348657000000000409e-04,-6.932019999999999404e-05,-5.459594999999999726e-02,9.600220000000000420e-01
5.761000000000000000e+08,-5.079040999999999695e-01,8.568419999999999925e-01,-6.961822999999999905e-05,3.028153999999999915e-03,1.472229999999999963e-05,1.838922999999999903e-03,2.251586999999999894e-01,9.590454000000000478e-01
6.504500000000000000e+08,-3.798217999999999872e-01,9.309692000000000522e-01,-3.849864000000000042e-04,-7.475019000000000064e-04,2.515912000000000248e-04,2.822280000000000023e-05,4.736328000000000205e-01,8.581543000000000365e-01
7.248000000000000000e+08,-2.326354999999999951e-01,9.869385000000000518e-01,-5.477070999999999589e-04,-1.398385000000000036e-03,5.559026999999999588e-04,5.653798999999999500e-04,6.589966000000000435e-01,6.806640999999999941e-01
7.991500000000000000e+08,-5.822754000000000124e-02,1.014709000000000083e+00,1.987219999999999991e-04,-2.437353000000000176e-03,1.622319000000000105e-03,1.508713000000000068e-03,8.350220000000000420e-01,4.313353999999999799e-01
8.735000000000000000e+08,1.049193999999999960e-01,1.023865000000000025e+00,-1.678884000000000062e-03,1.857281000000000014e-04,1.942514999999999910e-03,-1.030563999999999981e-04,9.280395999999999646e-01,1.365661999999999987e-01
9.478500000000000000e+08,2.949828999999999923e-01,9.946899000000000157e-01,8.837282999999999597e-04,-7.237196000000000427e-04,-1.084805000000000026e-05,4.627407000000000265e-04,8.901672000000000473e-01,-1.386413999999999980e-01
1.022200000000000000e+09,4.720459000000000183e-01,9.346923999999999788e-01,2.169012999999999963e-04,7.185339999999999479e-04,-4.166365000000000216e-04,2.189517000000000199e-03,7.646484000000000059e-01,-4.114990000000000037e-01
1.096550000000000000e+09,6.474609000000000059e-01,8.187256000000000533e-01,5.729198000000000233e-04,-1.381218000000000029e-03,1.330613999999999929e-03,-1.632214000000000104e-03,6.131286999999999709e-01,-6.371154999999999458e-01
1.170900000000000000e+09,8.020629999999999704e-01,6.703491000000000311e-01,-3.190636999999999857e-04,4.118679999999999672e-05,1.155734000000000004e-04,1.044928999999999997e-03,4.296875000000000000e-01,-7.912291999999999659e-01
1.245250000000000000e+09,9.124756000000000533e-01,4.804687999999999737e-01,-8.461474999999999552e-04,-8.866787000000000323e-04,5.751848000000000160e-04,-3.689826000000000000e-04,2.447205000000000075e-01,-8.471984999999999655e-01
1.319600000000000000e+09,9.791260000000000518e-01,2.761840999999999879e-01,-2.124310000000000130e-04,-4.289448000000000067e-04,1.709311999999999941e-04,-4.348158999999999987e-05,6.381230000000000235e-02,-8.445129000000000108e-01
1.393950000000000000e+09,9.853515999999999941e-01,4.705809999999999854e-02,8.382201000000000148e-04,-1.137971999999999899e-03,-2.557039000000000100e-04,-1.203417999999999936e-03,-1.177673000000000053e-01,-7.920532000000000128e-01
1.468300000000000000e+09,9.467773000000000438e-01,-1.566771999999999887e-01,-1.100003999999999912e-03,1.186430000000000037e-03,-4.429220999999999788e-04,-6.025434000000000085e-04,-2.989197000000000104e-01,-7.177124000000000281e-01
1.542650000000000000e+09,8.676757999999999971e-01,-3.538207999999999909e-01,8.101462999999999720e-04,4.065039999999999962e-05,-9.553431999999999506e-04,-1.763105000000000054e-04,-4.442748999999999726e-01,-6.204834000000000183e-01
1.617000000000000000e+09,7.658996999999999611e-01,-5.169373000000000440e-01,-1.110314999999999956e-03,-4.547833999999999731e-05,5.852429999999999801e-05,-1.824200000000000051e-04,-5.653686999999999463e-01,-5.006104000000000109e-01
1.691350000000000000e+09,6.406250000000000000e-01,-6.491088999999999887e-01,-6.193668000000000480e-05,1.581832999999999937e-04,8.826256000000000422e-04,-7.945298999999999905e-05,-6.485596000000000139e-01,-3.627318999999999960e-01
1.765700000000000000e+09,4.971008000000000093e-01,-7.480774000000000035e-01,4.746616000000000160e-04,1.617669999999999980e-04,6.817579000000000477e-04,6.834865000000000298e-04,-7.206420999999999522e-01,-2.251586999999999894e-01
1.840050000000000000e+09,3.433227999999999835e-01,-8.150635000000000518e-01,-3.710389000000000162e-05,8.262992000000000253e-04,-1.398981000000000096e-03,8.483529000000000070e-04,-7.906493999999999467e-01,-6.857299999999999507e-02
1.914400000000000000e+09,1.815490999999999910e-01,-8.254700000000000371e-01,-1.090407000000000052e-03,8.726120000000000404e-05,1.329780000000000133e-04,-6.855427999999999782e-04,-8.126221000000000139e-01,8.169559999999999322e-02
1.988750000000000000e+09,3.192140000000000255e-02,-8.041686999999999585e-01,-1.233041000000000042e-03,-4.290938000000000217e-04,4.533529000000000009e-04,1.104473999999999956e-04,-8.265381000000000533e-01,2.411194000000000115e-01
2.063100000000000000e+09,-8.892822000000000227e-02,-7.767334000000000183e-01,-7.668138000000000341e-04,5.740225000000000492e-04,-1.053452000000000078e-03,3.412366000000000119e-04,-7.873535000000000394e-01,4.054260000000000086e-01
2.137450000000000000e+09,-2.062988000000000044e-01,-7.491455000000000197e-01,-1.445532000000000023e-03,1.433611000000000000e-03,1.392840999999999914e-03,4.631280000000000151e-05,-7.576903999999999861e-01,5.432434000000000429e-01
2.211800000000000000e+09,-3.212890999999999941e-01,-7.186278999999999861e-01,-1.516342000000000059e-04,1.330793000000000037e-03,1.223682999999999986e-04,1.323669999999999881e-04,-5.730591000000000435e-01,6.632995999999999892e-01
2.286150000000000000e+09,-4.464721999999999857e-01,-6.727904999999999580e-01,-5.413294000000000352e-04,5.330442999999999813e-04,6.343126000000000363e-04,-1.225769999999999887e-04,-2.956237999999999921e-01,8.188170999999999644e-01
2.360500000000000000e+09,-5.493164000000000380e-01,-5.845337000000000449e-01,3.178715999999999942e-04,1.203536999999999966e-03,-4.172324999999999901e-06,-1.882970000000000086e-03,-2.365112000000000117e-02,8.757019000000000331e-01
2.434850000000000000e+09,-6.004639000000000504e-01,-4.908447000000000227e-01,1.883387999999999946e-03,1.845836999999999912e-03,-6.916522999999999508e-04,-1.604795000000000006e-03,3.109740999999999755e-01,7.076721000000000261e-01
2.509200000000000000e+09,-6.286621000000000015e-01,-4.018554999999999766e-01,1.959681999999999917e-03,-5.204677999999999909e-04,1.383363999999999991e-03,-1.066922999999999983e-05,5.182495000000000296e-01,5.095214999999999606e-01
2.583550000000000000e+09,-6.459350999999999843e-01,-3.435669000000000084e-01,1.415192999999999920e-03,-1.848638000000000104e-03,4.905461999999999757e-04,-1.529156999999999901e-04,5.971374999999999877e-01,1.581421000000000077e-01
2.657900000000000000e+09,-6.480103000000000391e-01,-2.839965999999999879e-01,4.672999999999999745e-04,-2.417564000000000084e-03,-1.345277000000000029e-04,1.917406999999999987e-04,5.107116999999999907e-01,-2.705993999999999899e-01
2.732250000000000000e+09,-6.649779999999999580e-01,-2.274780000000000135e-01,2.763269999999999854e-04,-2.040029000000000061e-03,-1.054585000000000028e-03,9.492040000000000416e-04,3.938903999999999739e-01,-5.699767999999999502e-01
2.806600000000000000e+09,-6.782837000000000449e-01,-1.502686000000000022e-01,-1.222014000000000000e-03,-1.671432999999999947e-03,2.959818000000000128e-04,-1.294911000000000010e-05,1.207885999999999960e-01,-6.706237999999999921e-01
2.880950000000000000e+09,-6.757813000000000292e-01,-7.562256000000000533e-02,-1.356124999999999909e-03,-1.449704000000000010e-03,8.452534999999999736e-04,5.710120000000000142e-05,-1.683350000000000124e-01,-6.809692000000000522e-01
2.955300000000000000e+09,-6.669005999999999545e-01,5.493200000000000166e-03,1.755356999999999870e-04,-1.181303999999999991e-03,1.033663999999999894e-03,4.178290000000000275e-05,-4.059752999999999834e-01,-6.965942000000000522e-01
3.029650000000000000e+09,-6.492919999999999803e-01,8.004759999999999653e-02,-6.812810999999999780e-04,1.129149999999999989e-03,8.062720000000000217e-04,-3.230870000000000053e-04,-4.504394999999999927e-01,-7.023314999999999975e-01
