CalKitAttenuator_2X10dBDate: 2026-04-17
CalKitAttenuator_2X10dBIFBW: 3.000000000000000E+03
CalKitAttenuator_2X10dBGPIB: GPIB0::16::INSTR
CalKitAttenuator_2X10dBStart_Hz: 148514850.0
CalKitAttenuator_2X10dBStop_Hz: 14999999850.0
CalKitAttenuator_2X10dBPoints: 201
CalKitAttenuator_2X10dBColumns:
CalKitAttenuator_2X10dBFreq_Hz, S11_Re, S11_Im, S21_Re, S21_Im, S12_Re, S12_Im, S22_Re, S22_Im
1.485148500000000000e+08,-4.313659999999999717e-02,-1.927108999999999905e-01,3.087462999999999735e-01,-3.274536000000000113e-02,3.095397999999999761e-01,-2.708435000000000009e-02,-1.239442999999999968e-02,7.042884999999999597e-03
2.227722750000000000e+08,-1.751041000000000056e-02,1.112652000000000085e-02,3.145447000000000104e-01,-5.587769000000000069e-02,3.033447000000000227e-01,-6.211852999999999819e-02,-2.608966999999999883e-02,3.099440000000000181e-03
2.970297000000000000e+08,-9.196281000000000594e-03,-7.711410999999999613e-03,3.064117000000000091e-01,-7.281493999999999467e-02,3.110961999999999894e-01,-7.730103000000000668e-02,-1.278209999999999937e-02,2.109527999999999837e-03
3.712871250000000000e+08,-1.120614999999999979e-02,-4.305363000000000419e-03,3.031769000000000269e-01,-8.656310999999999867e-02,3.070068000000000241e-01,-9.239197000000000382e-02,-1.796149999999999830e-02,6.207469999999999655e-03
4.455445500000000000e+08,-1.679802000000000031e-02,8.411399999999999866e-04,2.915191999999999783e-01,-1.090851000000000043e-01,2.911376999999999993e-01,-1.112975999999999965e-01,-1.809405999999999862e-02,-5.877494999999999942e-03
5.198019750000000000e+08,-1.704121000000000108e-02,-6.279945000000000319e-03,2.885742000000000029e-01,-1.277924000000000004e-01,2.895965999999999818e-01,-1.266784999999999994e-01,-1.026344000000000041e-02,-1.943588000000000000e-03
5.940594000000000000e+08,-1.599692999999999948e-02,-2.206801999999999896e-03,2.812195000000000111e-01,-1.401671999999999918e-01,2.807465000000000099e-01,-1.383667000000000091e-01,-1.366424999999999931e-02,6.875990000000000010e-04
6.683168250000000000e+08,-1.142119999999999941e-02,-4.556656000000000074e-03,2.748566000000000065e-01,-1.573028999999999955e-01,2.715149000000000035e-01,-1.636046999999999918e-01,-1.847934999999999856e-02,-1.705169999999999993e-03
7.425742500000000000e+08,-1.395225999999999932e-02,-3.723145000000000187e-03,2.616881999999999819e-01,-1.763916000000000095e-01,2.618102999999999958e-01,-1.770019999999999927e-01,-1.663399000000000127e-02,-2.918242999999999835e-04
8.168316750000000000e+08,-9.454726999999999576e-03,-2.842425999999999894e-03,2.511901999999999746e-01,-1.930389000000000133e-01,2.500000000000000000e-01,-1.876983999999999875e-01,-1.626015000000000099e-02,-1.797676000000000005e-03
