"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C5,C6,C7,C8","0.001u","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","8",""
"C9,C10,C11,C12,C13,C14,C15,C16,C18,C19,C20","0.1u","~","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","11",""
"C17","47u","~","Capacitor_SMD:C_1206_3216Metric","1",""
"IC1","PMA5-123-3W+","https://www.minicircuits.com/pdfs/PMA5-123-3W+.pdf","PMA5-123-3W+:QFN50P500X500X100-33N-D","1",""
"J1,J8","32K243-40ML5","32K243-40ML5","32K243-40ML5:CONN_32K243-40ML5_RBG","2",""
"J2,J3,J4,J5,J6,J7","Conn_01x02_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","6",""
"L1,L2","150n","~","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","2",""
"R1,R2","100k","~","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","2",""
"R3","0R","~","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","1",""
"R4","100R","~","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","1",""
